dataset,count,method,dimensions,rho.seuclidean
TabulaMuris_Brain_Microglia_FACS,logcounts,psmf,4,0.21664535512596889
TabulaMuris_Brain_Microglia_FACS,logcounts,psmf,32,0.17488780339114135
TabulaMuris_Brain_Microglia_FACS,logcounts,psmf,2,0.13299450667239412
TabulaMuris_Brain_Microglia_FACS,logcounts,psmf,16,0.1915586968388635
TabulaMuris_Brain_Microglia_FACS,logcounts,psmf,96,0.17544034516161708
TabulaMuris_Brain_Microglia_FACS,logcounts,psmf,8,0.1687551112141876
TabulaMuris_Brain_Microglia_FACS,logcounts,psmf,48,0.19026690303826793
TabulaMuris_Brain_Microglia_FACS,logcounts,fica,4,0.17994528989342484
TabulaMuris_Brain_Microglia_FACS,logcounts,fica,32,0.20598977533059099
TabulaMuris_Brain_Microglia_FACS,logcounts,fica,2,0.12836235145204217
TabulaMuris_Brain_Microglia_FACS,logcounts,fica,16,0.22807130657540162
TabulaMuris_Brain_Microglia_FACS,logcounts,fica,96,0.11272050906103408
TabulaMuris_Brain_Microglia_FACS,logcounts,fica,8,0.2163117054910178
TabulaMuris_Brain_Microglia_FACS,logcounts,fica,48,0.17065078717771434
TabulaMuris_Brain_Microglia_FACS,logcounts,lle,4,nan
TabulaMuris_Brain_Microglia_FACS,logcounts,lle,32,0.109471827122613
TabulaMuris_Brain_Microglia_FACS,logcounts,lle,2,0.011059741337415403
TabulaMuris_Brain_Microglia_FACS,logcounts,lle,16,0.08717690925734359
TabulaMuris_Brain_Microglia_FACS,logcounts,lle,96,0.12424183219587992
TabulaMuris_Brain_Microglia_FACS,logcounts,lle,8,nan
TabulaMuris_Brain_Microglia_FACS,logcounts,lle,48,0.12661724258839985
TabulaMuris_Brain_Microglia_FACS,logcounts,lsnmf,4,0.05220083597236221
TabulaMuris_Brain_Microglia_FACS,logcounts,lsnmf,32,0.05485521304204133
TabulaMuris_Brain_Microglia_FACS,logcounts,lsnmf,2,0.05204415295202625
TabulaMuris_Brain_Microglia_FACS,logcounts,lsnmf,16,0.05731161664172991
TabulaMuris_Brain_Microglia_FACS,logcounts,lsnmf,96,0.04224314164081322
TabulaMuris_Brain_Microglia_FACS,logcounts,lsnmf,8,0.05126811777310989
TabulaMuris_Brain_Microglia_FACS,logcounts,lsnmf,48,0.00015596945626498605
TabulaMuris_Brain_Microglia_FACS,logcounts,phate,4,0.130840309777639
TabulaMuris_Brain_Microglia_FACS,logcounts,phate,32,0.18489423045715112
TabulaMuris_Brain_Microglia_FACS,logcounts,phate,2,0.0907493425477866
TabulaMuris_Brain_Microglia_FACS,logcounts,phate,16,0.14644977075803958
TabulaMuris_Brain_Microglia_FACS,logcounts,phate,96,0.2130467116970657
TabulaMuris_Brain_Microglia_FACS,logcounts,phate,8,0.13919059234878162
TabulaMuris_Brain_Microglia_FACS,logcounts,phate,48,0.1754254595535948
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-rbf,4,0.11774469108216239
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-rbf,32,0.13292744399474077
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-rbf,2,0.046694853513381575
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-rbf,16,0.1690580847773107
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-rbf,96,-0.08047275237264184
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-rbf,8,0.16033884752292415
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-rbf,48,0.05572978611133582
TabulaMuris_Brain_Microglia_FACS,logcounts,isomap,4,0.10704359890160617
TabulaMuris_Brain_Microglia_FACS,logcounts,isomap,32,0.12343360912326498
TabulaMuris_Brain_Microglia_FACS,logcounts,isomap,2,0.10981548739379232
TabulaMuris_Brain_Microglia_FACS,logcounts,isomap,16,0.11852097140656738
TabulaMuris_Brain_Microglia_FACS,logcounts,isomap,96,0.14033627567571752
TabulaMuris_Brain_Microglia_FACS,logcounts,isomap,8,0.10180672888933855
TabulaMuris_Brain_Microglia_FACS,logcounts,isomap,48,0.13364030055073683
TabulaMuris_Brain_Microglia_FACS,logcounts,saucie,4,-0.006878055784339291
TabulaMuris_Brain_Microglia_FACS,logcounts,saucie,32,0.006176159534723161
TabulaMuris_Brain_Microglia_FACS,logcounts,saucie,2,0.007611966101788958
TabulaMuris_Brain_Microglia_FACS,logcounts,saucie,16,-0.007880109514964087
TabulaMuris_Brain_Microglia_FACS,logcounts,saucie,96,-0.000386011502357035
TabulaMuris_Brain_Microglia_FACS,logcounts,saucie,8,0.009686477330731112
TabulaMuris_Brain_Microglia_FACS,logcounts,saucie,48,0.001348392699488012
TabulaMuris_Brain_Microglia_FACS,logcounts,bd,4,0.14955972036971843
TabulaMuris_Brain_Microglia_FACS,logcounts,bd,32,0.22057220806772654
TabulaMuris_Brain_Microglia_FACS,logcounts,bd,2,0.12284460390737177
TabulaMuris_Brain_Microglia_FACS,logcounts,bd,16,0.22703353606389967
TabulaMuris_Brain_Microglia_FACS,logcounts,bd,96,0.20389380487428907
TabulaMuris_Brain_Microglia_FACS,logcounts,bd,8,0.2102851182190499
TabulaMuris_Brain_Microglia_FACS,logcounts,bd,48,0.21513817687960332
TabulaMuris_Brain_Microglia_FACS,logcounts,lda,4,0.08835899955518131
TabulaMuris_Brain_Microglia_FACS,logcounts,lda,32,0.19666343934497743
TabulaMuris_Brain_Microglia_FACS,logcounts,lda,2,0.17263720021834192
TabulaMuris_Brain_Microglia_FACS,logcounts,lda,16,0.13032680896954563
TabulaMuris_Brain_Microglia_FACS,logcounts,lda,96,0.14773779219024727
TabulaMuris_Brain_Microglia_FACS,logcounts,lda,8,0.1272096021223253
TabulaMuris_Brain_Microglia_FACS,logcounts,lda,48,0.15329418711815776
TabulaMuris_Brain_Microglia_FACS,logcounts,spectral,4,0.13361617952817348
TabulaMuris_Brain_Microglia_FACS,logcounts,spectral,32,0.14777715904781857
TabulaMuris_Brain_Microglia_FACS,logcounts,spectral,2,0.05342898710796787
TabulaMuris_Brain_Microglia_FACS,logcounts,spectral,16,0.21175677229688675
TabulaMuris_Brain_Microglia_FACS,logcounts,spectral,96,0.02960687160886634
TabulaMuris_Brain_Microglia_FACS,logcounts,spectral,8,0.21470656868057472
TabulaMuris_Brain_Microglia_FACS,logcounts,spectral,48,0.09019143386888086
TabulaMuris_Brain_Microglia_FACS,logcounts,grp,4,0.024371676209463993
TabulaMuris_Brain_Microglia_FACS,logcounts,grp,32,0.04854185614422703
TabulaMuris_Brain_Microglia_FACS,logcounts,grp,2,0.017625241675150997
TabulaMuris_Brain_Microglia_FACS,logcounts,grp,16,0.04304170208408654
TabulaMuris_Brain_Microglia_FACS,logcounts,grp,96,0.12548558926286255
TabulaMuris_Brain_Microglia_FACS,logcounts,grp,8,0.046114286364925906
TabulaMuris_Brain_Microglia_FACS,logcounts,grp,48,0.07411457723501125
TabulaMuris_Brain_Microglia_FACS,logcounts,fa,4,0.2648743764618349
TabulaMuris_Brain_Microglia_FACS,logcounts,fa,32,0.334771252896425
TabulaMuris_Brain_Microglia_FACS,logcounts,fa,2,0.09657283341092426
TabulaMuris_Brain_Microglia_FACS,logcounts,fa,16,0.3008659958187491
TabulaMuris_Brain_Microglia_FACS,logcounts,fa,96,0.5843414907340142
TabulaMuris_Brain_Microglia_FACS,logcounts,fa,8,0.26674737016598177
TabulaMuris_Brain_Microglia_FACS,logcounts,fa,48,0.37554171110634516
TabulaMuris_Brain_Microglia_FACS,logcounts,mctsne,4,0.013922585036287748
TabulaMuris_Brain_Microglia_FACS,logcounts,mctsne,32,nan
TabulaMuris_Brain_Microglia_FACS,logcounts,mctsne,2,0.05701184382054049
TabulaMuris_Brain_Microglia_FACS,logcounts,mctsne,96,nan
TabulaMuris_Brain_Microglia_FACS,logcounts,mctsne,8,0.026582527598403457
TabulaMuris_Brain_Microglia_FACS,logcounts,mctsne,48,0.02282055066783797
TabulaMuris_Brain_Microglia_FACS,logcounts,nmf,4,0.17916774333491942
TabulaMuris_Brain_Microglia_FACS,logcounts,nmf,32,0.20087627587656517
TabulaMuris_Brain_Microglia_FACS,logcounts,nmf,2,0.08607117711744267
TabulaMuris_Brain_Microglia_FACS,logcounts,nmf,16,0.21635733741041682
TabulaMuris_Brain_Microglia_FACS,logcounts,nmf,96,0.12231283416366774
TabulaMuris_Brain_Microglia_FACS,logcounts,nmf,8,0.2255206281748466
TabulaMuris_Brain_Microglia_FACS,logcounts,nmf,48,0.1692057394250677
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-pol,4,0.1899144355999719
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-pol,32,0.16135764235451244
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-pol,2,0.11773363227783357
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-pol,16,0.202999187705116
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-pol,96,0.0915098447774788
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-pol,8,0.21030668296260435
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-pol,48,0.12961436235366722
TabulaMuris_Brain_Microglia_FACS,logcounts,vasc,4,0.09543509152187751
TabulaMuris_Brain_Microglia_FACS,logcounts,vasc,32,nan
TabulaMuris_Brain_Microglia_FACS,logcounts,vasc,2,0.07088333459785491
TabulaMuris_Brain_Microglia_FACS,logcounts,vasc,16,0.05521186668745205
TabulaMuris_Brain_Microglia_FACS,logcounts,vasc,96,nan
TabulaMuris_Brain_Microglia_FACS,logcounts,vasc,8,0.07484799007107266
TabulaMuris_Brain_Microglia_FACS,logcounts,vasc,48,nan
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-cos,4,0.14043511820288104
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-cos,32,0.16529315533611064
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-cos,2,0.10594965974502196
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-cos,16,0.19037536986343087
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-cos,96,0.08939511274755439
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-cos,8,0.1823029578221002
TabulaMuris_Brain_Microglia_FACS,logcounts,kpca-cos,48,0.13222076779428604
TabulaMuris_Brain_Microglia_FACS,logcounts,pca,4,0.17994605592393587
TabulaMuris_Brain_Microglia_FACS,logcounts,pca,32,0.1939667728392682
TabulaMuris_Brain_Microglia_FACS,logcounts,pca,2,0.12836235180503794
TabulaMuris_Brain_Microglia_FACS,logcounts,pca,16,0.21969028799187207
TabulaMuris_Brain_Microglia_FACS,logcounts,pca,96,0.11798607869367822
TabulaMuris_Brain_Microglia_FACS,logcounts,pca,8,0.21613624422151084
TabulaMuris_Brain_Microglia_FACS,logcounts,pca,48,0.1669582129896502
TabulaMuris_Brain_Microglia_FACS,logcounts,pmf,4,0.13491699075569374
TabulaMuris_Brain_Microglia_FACS,logcounts,pmf,32,0.2595939859430527
TabulaMuris_Brain_Microglia_FACS,logcounts,pmf,2,0.11659430015375519
TabulaMuris_Brain_Microglia_FACS,logcounts,pmf,16,0.23314650487523833
TabulaMuris_Brain_Microglia_FACS,logcounts,pmf,96,0.34375081594136914
TabulaMuris_Brain_Microglia_FACS,logcounts,pmf,8,0.2086115623624185
TabulaMuris_Brain_Microglia_FACS,logcounts,pmf,48,0.30995045346342354
TabulaMuris_Brain_Microglia_FACS,logcounts,snmf,4,0.15107602919974353
TabulaMuris_Brain_Microglia_FACS,logcounts,snmf,32,0.21973677834100797
TabulaMuris_Brain_Microglia_FACS,logcounts,snmf,2,0.1091742218735885
TabulaMuris_Brain_Microglia_FACS,logcounts,snmf,16,0.20550975295614973
TabulaMuris_Brain_Microglia_FACS,logcounts,snmf,96,0.15242775933407512
TabulaMuris_Brain_Microglia_FACS,logcounts,snmf,8,0.18798441238740649
TabulaMuris_Brain_Microglia_FACS,logcounts,snmf,48,0.21959115546866798
TabulaMuris_Brain_Microglia_FACS,logcounts,ipca,4,0.17994529009483165
TabulaMuris_Brain_Microglia_FACS,logcounts,ipca,32,0.20598977445860917
TabulaMuris_Brain_Microglia_FACS,logcounts,ipca,2,0.12836235157335446
TabulaMuris_Brain_Microglia_FACS,logcounts,ipca,16,0.22807130654835278
TabulaMuris_Brain_Microglia_FACS,logcounts,ipca,96,0.11272051034975596
TabulaMuris_Brain_Microglia_FACS,logcounts,ipca,8,0.21631170569288563
TabulaMuris_Brain_Microglia_FACS,logcounts,ipca,48,0.17065078668386688
TabulaMuris_Brain_Microglia_FACS,logcounts,icm,4,0.13915068569150366
TabulaMuris_Brain_Microglia_FACS,logcounts,icm,32,0.1992405072015303
TabulaMuris_Brain_Microglia_FACS,logcounts,icm,2,0.09195530198388255
TabulaMuris_Brain_Microglia_FACS,logcounts,icm,16,0.24772008934878795
TabulaMuris_Brain_Microglia_FACS,logcounts,icm,96,0.14074486668571143
TabulaMuris_Brain_Microglia_FACS,logcounts,icm,8,0.20922180280314037
TabulaMuris_Brain_Microglia_FACS,logcounts,icm,48,0.1933109828162444
TabulaMuris_Brain_Microglia_FACS,logcounts,ivis,4,0.008765123361561539
TabulaMuris_Brain_Microglia_FACS,logcounts,ivis,32,0.24886668027461412
TabulaMuris_Brain_Microglia_FACS,logcounts,ivis,2,0.05911011874249364
TabulaMuris_Brain_Microglia_FACS,logcounts,ivis,16,0.25150030929401135
TabulaMuris_Brain_Microglia_FACS,logcounts,ivis,96,0.19938698093328835
TabulaMuris_Brain_Microglia_FACS,logcounts,ivis,8,0.05258637462962389
TabulaMuris_Brain_Microglia_FACS,logcounts,ivis,48,0.23506672141668478
TabulaMuris_Colon_FACS,counts,spca,4,0.14508275461556247
TabulaMuris_Colon_FACS,counts,spca,32,0.09758879683450758
TabulaMuris_Colon_FACS,counts,spca,2,0.14221831157748488
TabulaMuris_Colon_FACS,counts,spca,16,0.025529837807645492
TabulaMuris_Colon_FACS,counts,spca,96,0.2165844994627188
TabulaMuris_Colon_FACS,counts,spca,8,0.047728401827934426
TabulaMuris_Colon_FACS,counts,spca,48,0.11172073568238014
TabulaMuris_Colon_FACS,counts,tsvd,4,0.051446468547979685
TabulaMuris_Colon_FACS,counts,tsvd,32,0.08503131835768006
TabulaMuris_Colon_FACS,counts,tsvd,2,0.14787521112552743
TabulaMuris_Colon_FACS,counts,tsvd,16,0.009700233293363662
TabulaMuris_Colon_FACS,counts,tsvd,96,0.20657902611264733
TabulaMuris_Colon_FACS,counts,tsvd,8,0.02586271295096292
TabulaMuris_Colon_FACS,counts,tsvd,48,0.09686811073290548
TabulaMuris_Colon_FACS,counts,spca-batch,4,0.04140433398381557
TabulaMuris_Colon_FACS,counts,spca-batch,32,0.005237032416708136
TabulaMuris_Colon_FACS,counts,spca-batch,2,0.08335958984342662
TabulaMuris_Colon_FACS,counts,spca-batch,16,0.03181651977426543
TabulaMuris_Colon_FACS,counts,spca-batch,96,0.10170307630486357
TabulaMuris_Colon_FACS,counts,spca-batch,8,0.05040668683641985
TabulaMuris_Colon_FACS,counts,spca-batch,48,0.0661325757667592
TabulaMuris_Colon_FACS,counts,zifa,4,0.048051601769128434
TabulaMuris_Colon_FACS,counts,zifa,2,0.14955464553870704
TabulaMuris_Colon_FACS,counts,zifa,16,0.21341717456537782
TabulaMuris_Colon_FACS,counts,zifa,8,0.21719108518420652
TabulaMuris_Colon_FACS,counts,nsnmf,4,0.08776370176195991
TabulaMuris_Colon_FACS,counts,nsnmf,32,0.388321455088733
TabulaMuris_Colon_FACS,counts,nsnmf,2,0.09093627707915669
TabulaMuris_Colon_FACS,counts,nsnmf,16,0.2810447995811773
TabulaMuris_Colon_FACS,counts,nsnmf,96,0.3869163091335815
TabulaMuris_Colon_FACS,counts,nsnmf,8,0.30385025601419574
TabulaMuris_Colon_FACS,counts,nsnmf,48,0.29872922780291183
TabulaMuris_Colon_FACS,counts,vpac,4,-0.06449340786677393
TabulaMuris_Colon_FACS,counts,vpac,32,0.011309099337557502
TabulaMuris_Colon_FACS,counts,vpac,2,0.018652908674696475
TabulaMuris_Colon_FACS,counts,vpac,16,0.00037097580744905424
TabulaMuris_Colon_FACS,counts,vpac,96,-0.058370695279296426
TabulaMuris_Colon_FACS,counts,vpac,8,-0.1575239504388439
TabulaMuris_Colon_FACS,counts,vpac,48,-0.023964481706354852
TabulaMuris_Colon_FACS,counts,umap,4,0.0783163790597802
TabulaMuris_Colon_FACS,counts,umap,32,-0.024246316699898955
TabulaMuris_Colon_FACS,counts,umap,2,0.10466085540637207
TabulaMuris_Colon_FACS,counts,umap,16,-0.03806255966518259
TabulaMuris_Colon_FACS,counts,umap,96,-0.00817974618581953
TabulaMuris_Colon_FACS,counts,umap,8,0.04770790690014767
TabulaMuris_Colon_FACS,counts,umap,48,0.025032413460476587
TabulaMuris_Colon_FACS,counts,kpca-sig,4,nan
TabulaMuris_Colon_FACS,counts,kpca-sig,32,nan
TabulaMuris_Colon_FACS,counts,kpca-sig,2,nan
TabulaMuris_Colon_FACS,counts,kpca-sig,16,nan
TabulaMuris_Colon_FACS,counts,kpca-sig,96,nan
TabulaMuris_Colon_FACS,counts,kpca-sig,8,nan
TabulaMuris_Colon_FACS,counts,kpca-sig,48,nan
TabulaMuris_Colon_FACS,counts,nmf2,4,0.09691334331372752
TabulaMuris_Colon_FACS,counts,nmf2,32,0.07994810881827011
TabulaMuris_Colon_FACS,counts,nmf2,2,0.09868571843719158
TabulaMuris_Colon_FACS,counts,nmf2,16,0.09527773829489279
TabulaMuris_Colon_FACS,counts,nmf2,96,0.1039337984381482
TabulaMuris_Colon_FACS,counts,nmf2,8,0.08030374839287088
TabulaMuris_Colon_FACS,counts,nmf2,48,0.11286799598870609
TabulaMuris_Colon_FACS,counts,srp,4,0.20030398535637392
TabulaMuris_Colon_FACS,counts,srp,32,0.24513679042003034
TabulaMuris_Colon_FACS,counts,srp,2,0.17362173774245657
TabulaMuris_Colon_FACS,counts,srp,16,0.3394145550840995
TabulaMuris_Colon_FACS,counts,srp,96,0.28055259478009403
TabulaMuris_Colon_FACS,counts,srp,8,0.20580856423448007
TabulaMuris_Colon_FACS,counts,srp,48,0.36643356180600234
TabulaMuris_Colon_FACS,counts,psmf,4,0.0920997532940189
TabulaMuris_Colon_FACS,counts,psmf,32,0.21531744181527943
TabulaMuris_Colon_FACS,counts,psmf,2,0.1375523427916222
TabulaMuris_Colon_FACS,counts,psmf,16,0.23320132067707947
TabulaMuris_Colon_FACS,counts,psmf,96,0.23942883678022736
TabulaMuris_Colon_FACS,counts,psmf,8,0.2621198163331821
TabulaMuris_Colon_FACS,counts,psmf,48,0.17882543053347244
TabulaMuris_Colon_FACS,counts,fica,4,0.14508246772052702
TabulaMuris_Colon_FACS,counts,fica,32,0.09554846124269784
TabulaMuris_Colon_FACS,counts,fica,2,0.14221839752579907
TabulaMuris_Colon_FACS,counts,fica,16,0.025532945243104517
TabulaMuris_Colon_FACS,counts,fica,96,0.21084045254969516
TabulaMuris_Colon_FACS,counts,fica,8,0.04772791329443995
TabulaMuris_Colon_FACS,counts,fica,48,0.10477658217024674
TabulaMuris_Colon_FACS,counts,lle,4,0.08632127258475461
TabulaMuris_Colon_FACS,counts,lle,32,-0.0462255287520202
TabulaMuris_Colon_FACS,counts,lle,2,0.08291934749552854
TabulaMuris_Colon_FACS,counts,lle,16,-0.03417539762913228
TabulaMuris_Colon_FACS,counts,lle,96,-0.10595883980722785
TabulaMuris_Colon_FACS,counts,lle,8,0.050470702976893295
TabulaMuris_Colon_FACS,counts,lle,48,-0.11435535163757582
TabulaMuris_Colon_FACS,counts,lsnmf,4,-0.0017228348431556268
TabulaMuris_Colon_FACS,counts,lsnmf,32,-0.001529587617459983
TabulaMuris_Colon_FACS,counts,lsnmf,2,0.003068285193376192
TabulaMuris_Colon_FACS,counts,lsnmf,16,0.001597879489417084
TabulaMuris_Colon_FACS,counts,lsnmf,96,-0.004904989556974751
TabulaMuris_Colon_FACS,counts,lsnmf,8,-0.009610264934340746
TabulaMuris_Colon_FACS,counts,lsnmf,48,0.011616100623607156
TabulaMuris_Colon_FACS,counts,phate,4,0.022502985935271978
TabulaMuris_Colon_FACS,counts,phate,32,-0.04129431700126739
TabulaMuris_Colon_FACS,counts,phate,2,0.1138288991014513
TabulaMuris_Colon_FACS,counts,phate,16,0.018648457276976317
TabulaMuris_Colon_FACS,counts,phate,96,-0.08595907655514015
TabulaMuris_Colon_FACS,counts,phate,8,0.032588447003460426
TabulaMuris_Colon_FACS,counts,phate,48,-0.055218841037711845
TabulaMuris_Colon_FACS,counts,kpca-rbf,4,-0.018432797164291068
TabulaMuris_Colon_FACS,counts,kpca-rbf,32,-0.016821865308743855
TabulaMuris_Colon_FACS,counts,kpca-rbf,2,-0.0014322332505754278
TabulaMuris_Colon_FACS,counts,kpca-rbf,16,-0.018247492094686513
TabulaMuris_Colon_FACS,counts,kpca-rbf,96,-0.009138258604754344
TabulaMuris_Colon_FACS,counts,kpca-rbf,8,-0.011068291700767178
TabulaMuris_Colon_FACS,counts,kpca-rbf,48,-0.01113631171964307
TabulaMuris_Colon_FACS,counts,isomap,4,0.1305129177786115
TabulaMuris_Colon_FACS,counts,isomap,32,0.1932604166250451
TabulaMuris_Colon_FACS,counts,isomap,2,0.13858118942222608
TabulaMuris_Colon_FACS,counts,isomap,16,0.1790113725586065
TabulaMuris_Colon_FACS,counts,isomap,96,0.213494408219149
TabulaMuris_Colon_FACS,counts,isomap,8,0.17558875663776757
TabulaMuris_Colon_FACS,counts,isomap,48,0.20967321230785202
TabulaMuris_Colon_FACS,counts,saucie,4,0.007656919595818429
TabulaMuris_Colon_FACS,counts,saucie,32,0.003202384571945408
TabulaMuris_Colon_FACS,counts,saucie,2,0.014829493718679913
TabulaMuris_Colon_FACS,counts,saucie,16,-0.0021878529831393873
TabulaMuris_Colon_FACS,counts,saucie,96,-0.013070850145532803
TabulaMuris_Colon_FACS,counts,saucie,8,0.010517728722752452
TabulaMuris_Colon_FACS,counts,saucie,48,-0.012180442666760535
TabulaMuris_Colon_FACS,counts,bd,4,0.06909778262503088
TabulaMuris_Colon_FACS,counts,bd,32,0.006833551496935012
TabulaMuris_Colon_FACS,counts,bd,2,0.14867633587826523
TabulaMuris_Colon_FACS,counts,bd,16,-0.03669464809070445
TabulaMuris_Colon_FACS,counts,bd,96,0.09896606744983315
TabulaMuris_Colon_FACS,counts,bd,8,0.020703549757567077
TabulaMuris_Colon_FACS,counts,bd,48,0.09376011564780301
TabulaMuris_Colon_FACS,counts,lda,4,0.004064314152011304
TabulaMuris_Colon_FACS,counts,lda,32,0.07985750547059331
TabulaMuris_Colon_FACS,counts,lda,2,0.10617094744770544
TabulaMuris_Colon_FACS,counts,lda,16,0.12635447265560665
TabulaMuris_Colon_FACS,counts,lda,96,0.12386838014555854
TabulaMuris_Colon_FACS,counts,lda,8,-0.0027238887933811566
TabulaMuris_Colon_FACS,counts,lda,48,0.1690138693667783
TabulaMuris_Colon_FACS,counts,spectral,4,0.1049776770385386
TabulaMuris_Colon_FACS,counts,spectral,32,0.06964274910714371
TabulaMuris_Colon_FACS,counts,spectral,2,0.09746638103645176
TabulaMuris_Colon_FACS,counts,spectral,16,0.006842519290925055
TabulaMuris_Colon_FACS,counts,spectral,96,0.07431723010961619
TabulaMuris_Colon_FACS,counts,spectral,8,0.11770428103285821
TabulaMuris_Colon_FACS,counts,spectral,48,0.060760728370199045
TabulaMuris_Colon_FACS,counts,grp,4,0.10596745197415214
TabulaMuris_Colon_FACS,counts,grp,32,0.09048199800196133
TabulaMuris_Colon_FACS,counts,grp,2,0.0907668306538957
TabulaMuris_Colon_FACS,counts,grp,16,0.1114471085816853
TabulaMuris_Colon_FACS,counts,grp,96,0.10292119859460971
TabulaMuris_Colon_FACS,counts,grp,8,0.15921796084871345
TabulaMuris_Colon_FACS,counts,grp,48,0.08126483401534398
TabulaMuris_Colon_FACS,counts,fa,4,0.07049660570059091
TabulaMuris_Colon_FACS,counts,fa,32,0.2684526892718831
TabulaMuris_Colon_FACS,counts,fa,2,0.13772809138178965
TabulaMuris_Colon_FACS,counts,fa,16,0.13957001218089754
TabulaMuris_Colon_FACS,counts,fa,96,0.27937176351056536
TabulaMuris_Colon_FACS,counts,fa,8,0.21024065506708584
TabulaMuris_Colon_FACS,counts,fa,48,0.20795915612752697
TabulaMuris_Colon_FACS,counts,mctsne,4,0.04869846818533589
TabulaMuris_Colon_FACS,counts,mctsne,32,nan
TabulaMuris_Colon_FACS,counts,mctsne,2,-0.01494754776984859
TabulaMuris_Colon_FACS,counts,mctsne,96,0.14178746958014898
TabulaMuris_Colon_FACS,counts,mctsne,8,0.10605635368584736
TabulaMuris_Colon_FACS,counts,mctsne,48,0.09820159844984913
TabulaMuris_Colon_FACS,counts,nmf,4,0.06893402377351765
TabulaMuris_Colon_FACS,counts,nmf,32,0.04387563815322502
TabulaMuris_Colon_FACS,counts,nmf,2,0.14883471578242077
TabulaMuris_Colon_FACS,counts,nmf,16,-0.014189678040846922
TabulaMuris_Colon_FACS,counts,nmf,96,0.1529430904643998
TabulaMuris_Colon_FACS,counts,nmf,8,0.028763020625700374
TabulaMuris_Colon_FACS,counts,nmf,48,0.06128864843545892
TabulaMuris_Colon_FACS,counts,kpca-pol,4,0.1933988142668799
TabulaMuris_Colon_FACS,counts,kpca-pol,32,0.17153006972681928
TabulaMuris_Colon_FACS,counts,kpca-pol,2,0.09815429209959806
TabulaMuris_Colon_FACS,counts,kpca-pol,16,0.1452859020661352
TabulaMuris_Colon_FACS,counts,kpca-pol,96,0.18909945084965019
TabulaMuris_Colon_FACS,counts,kpca-pol,8,0.18990597621606328
TabulaMuris_Colon_FACS,counts,kpca-pol,48,0.1942918252809014
TabulaMuris_Colon_FACS,counts,vasc,4,0.06641875211918313
TabulaMuris_Colon_FACS,counts,vasc,32,0.18360518822071586
TabulaMuris_Colon_FACS,counts,vasc,2,0.047999919469159935
TabulaMuris_Colon_FACS,counts,vasc,16,0.176463376076329
TabulaMuris_Colon_FACS,counts,vasc,96,0.16039075621918944
TabulaMuris_Colon_FACS,counts,vasc,8,0.10992906565619381
TabulaMuris_Colon_FACS,counts,vasc,48,0.23269916677730282
TabulaMuris_Colon_FACS,counts,kpca-cos,4,-0.05268185394208025
TabulaMuris_Colon_FACS,counts,kpca-cos,32,0.05150289614409423
TabulaMuris_Colon_FACS,counts,kpca-cos,2,0.03649102075755801
TabulaMuris_Colon_FACS,counts,kpca-cos,16,0.01941506602909213
TabulaMuris_Colon_FACS,counts,kpca-cos,96,0.10193033616583665
TabulaMuris_Colon_FACS,counts,kpca-cos,8,0.0032635986057695074
TabulaMuris_Colon_FACS,counts,kpca-cos,48,0.0671326048029353
TabulaMuris_Colon_FACS,counts,pca,4,0.1450824679542204
TabulaMuris_Colon_FACS,counts,pca,32,0.09556688344356377
TabulaMuris_Colon_FACS,counts,pca,2,0.1422183975811333
TabulaMuris_Colon_FACS,counts,pca,16,0.02553780592740884
TabulaMuris_Colon_FACS,counts,pca,96,0.2110515366870085
TabulaMuris_Colon_FACS,counts,pca,8,0.04772791342881418
TabulaMuris_Colon_FACS,counts,pca,48,0.104958775584083
TabulaMuris_Colon_FACS,counts,pmf,4,0.14131683687640045
TabulaMuris_Colon_FACS,counts,pmf,32,0.3549889834449501
TabulaMuris_Colon_FACS,counts,pmf,2,0.09788809503112121
TabulaMuris_Colon_FACS,counts,pmf,16,0.1446208823964187
TabulaMuris_Colon_FACS,counts,pmf,96,0.4200134661260969
TabulaMuris_Colon_FACS,counts,pmf,8,0.15781707815873347
TabulaMuris_Colon_FACS,counts,pmf,48,0.3718088847009052
TabulaMuris_Colon_FACS,counts,snmf,4,0.05948901703334945
TabulaMuris_Colon_FACS,counts,snmf,32,nan
