dataset,count,method,dimensions,rho.seuclidean
baron-human,logcounts,zifa,4,0.14914610383375543
baron-human,logcounts,zifa,2,0.14418176985988448
baron-human,logcounts,zifa,16,0.16907321547616913
baron-human,logcounts,zifa,8,0.19578127364398856
baron-human,logcounts,nsnmf,4,0.3388449756773952
baron-human,logcounts,nsnmf,32,0.5296857421828328
baron-human,logcounts,nsnmf,2,0.19110523470269192
baron-human,logcounts,nsnmf,16,0.485517995688489
baron-human,logcounts,nsnmf,96,0.5983053744016845
baron-human,logcounts,nsnmf,8,0.38310811683604484
baron-human,logcounts,nsnmf,48,0.5774500069379723
baron-human,logcounts,vpac,4,0.21587420416260827
baron-human,logcounts,vpac,32,0.30285707619707164
baron-human,logcounts,vpac,2,0.26285388250446273
baron-human,logcounts,vpac,16,0.29671230939755944
baron-human,logcounts,vpac,96,0.5619050728473647
baron-human,logcounts,vpac,8,0.28653847888896156
baron-human,logcounts,vpac,48,0.4306049982669141
baron-human,logcounts,umap,4,0.19744047946720727
baron-human,logcounts,umap,32,0.14249467164564433
baron-human,logcounts,umap,2,0.20680364634702308
baron-human,logcounts,umap,16,0.17483191095091713
baron-human,logcounts,umap,96,0.05508130482098149
baron-human,logcounts,umap,8,0.14414127658805437
baron-human,logcounts,umap,48,0.0731210810702474
baron-human,logcounts,kpca-sig,4,-0.05611757850190785
baron-human,logcounts,kpca-sig,32,-0.17915426433336354
baron-human,logcounts,kpca-sig,2,0.015974938067706192
baron-human,logcounts,kpca-sig,16,-0.0869009312715516
baron-human,logcounts,kpca-sig,96,-0.3004685333664339
baron-human,logcounts,kpca-sig,8,-0.09906940481802787
baron-human,logcounts,kpca-sig,48,-0.23688711457326864
baron-human,logcounts,nmf2,4,0.2496394359375342
baron-human,logcounts,nmf2,32,0.34775219208355634
baron-human,logcounts,nmf2,2,0.22005017773322208
baron-human,logcounts,nmf2,16,0.26548037038882205
baron-human,logcounts,nmf2,96,0.4301346212347648
baron-human,logcounts,nmf2,8,0.2746147416720767
baron-human,logcounts,nmf2,48,0.37037244974980743
baron-human,logcounts,srp,4,0.1187522229351378
baron-human,logcounts,srp,32,0.29610339297223726
baron-human,logcounts,srp,2,0.0881504617754114
baron-human,logcounts,srp,16,0.2569046876134696
baron-human,logcounts,srp,96,0.46308098410488935
baron-human,logcounts,srp,8,0.15810465331709403
baron-human,logcounts,srp,48,0.3741905111484982
baron-human,logcounts,psmf,4,0.31409933870090484
baron-human,logcounts,psmf,32,0.32005521360717054
baron-human,logcounts,psmf,2,0.31763849033570846
baron-human,logcounts,psmf,16,0.31265363233111726
baron-human,logcounts,psmf,96,0.20214091448018026
baron-human,logcounts,psmf,8,0.3805623733710736
baron-human,logcounts,psmf,48,0.3132478321260245
baron-human,logcounts,fica,4,0.3269011209245784
baron-human,logcounts,fica,32,0.5152047709370977
baron-human,logcounts,fica,2,0.22837521931977348
baron-human,logcounts,fica,16,0.48734322845030426
baron-human,logcounts,fica,96,0.5539048545373687
baron-human,logcounts,fica,8,0.37720887989064805
baron-human,logcounts,fica,48,0.5363645969503569
baron-human,logcounts,lle,4,0.21598568366982926
baron-human,logcounts,lle,32,0.28811356297274426
baron-human,logcounts,lle,2,0.185576714433757
baron-human,logcounts,lle,16,0.23336402134991915
baron-human,logcounts,lle,96,0.362439141091654
baron-human,logcounts,lle,8,0.1961122611666597
baron-human,logcounts,lle,48,0.3404661417888746
baron-human,logcounts,lsnmf,4,0.2927481601585383
baron-human,logcounts,lsnmf,32,0.14482533205683953
baron-human,logcounts,lsnmf,2,0.060157173380492
baron-human,logcounts,lsnmf,16,0.05821174669910153
baron-human,logcounts,lsnmf,96,-0.0019065987986952226
baron-human,logcounts,lsnmf,8,0.35760532694627933
baron-human,logcounts,lsnmf,48,0.12955975064423966
baron-human,logcounts,phate,4,0.35002506416522694
baron-human,logcounts,phate,32,0.33775039001596846
baron-human,logcounts,phate,2,0.2884302842033304
baron-human,logcounts,phate,16,0.3523419405179187
baron-human,logcounts,phate,96,0.26395764077524025
baron-human,logcounts,phate,8,0.42476160027566134
baron-human,logcounts,phate,48,0.29859554888609263
baron-human,logcounts,kpca-rbf,4,-0.11853622987980525
baron-human,logcounts,kpca-rbf,32,-0.13063639806984437
baron-human,logcounts,kpca-rbf,2,-0.11731787808458181
baron-human,logcounts,kpca-rbf,16,-0.10957431385365009
baron-human,logcounts,kpca-rbf,96,-0.44988819029849014
baron-human,logcounts,kpca-rbf,8,-0.10877744262876182
baron-human,logcounts,kpca-rbf,48,-0.19768631587103264
baron-human,logcounts,isomap,4,0.4006609767631406
baron-human,logcounts,isomap,32,0.45201186856999925
baron-human,logcounts,isomap,2,0.3348035139603251
baron-human,logcounts,isomap,16,0.45431215460885993
baron-human,logcounts,isomap,96,0.44237560996229724
baron-human,logcounts,isomap,8,0.45089356476321785
baron-human,logcounts,isomap,48,0.45246676356202054
