dataset,count,method,dimensions,rho.cosine
baron-human,counts,nsnmf,96,0.823369653023963
baron-human,counts,nsnmf,48,0.8313147561876644
baron-human,counts,nsnmf,32,0.8234527274886875
baron-human,counts,nsnmf,2,0.42387916993424535
baron-human,counts,nsnmf,4,0.6939048624181897
baron-human,counts,nsnmf,8,0.8128428747105076
baron-human,counts,nsnmf,16,0.8438110957194848
baron-human,counts,lsnmf,96,-0.003584499483554726
baron-human,counts,lsnmf,48,0.0012637731997926856
baron-human,counts,lsnmf,32,0.0012399851938559641
baron-human,counts,lsnmf,2,-0.0006180126848398061
baron-human,counts,lsnmf,4,0.006827305171109426
baron-human,counts,lsnmf,8,0.0037469463804399392
baron-human,counts,lsnmf,16,-0.004227055474850705
baron-human,counts,bd,96,0.7798713087672773
baron-human,counts,bd,48,0.8082735089279043
baron-human,counts,bd,32,0.8013327202600925
baron-human,counts,bd,2,0.24662513877817235
baron-human,counts,bd,4,0.766057792064257
baron-human,counts,bd,8,0.8093146511776985
baron-human,counts,bd,16,0.7842344196267511
baron-human,counts,fa,96,0.2692905432324276
baron-human,counts,fa,48,0.34621828145645145
baron-human,counts,fa,32,0.36539345311435695
baron-human,counts,fa,2,0.18001883711140745
baron-human,counts,fa,4,0.22544100308439985
baron-human,counts,fa,8,0.5400740117998905
baron-human,counts,fa,16,0.43295818766405036
baron-human,logcounts,zifa,2,0.2784835685779049
baron-human,logcounts,zifa,4,0.42705197081483226
baron-human,logcounts,zifa,8,0.4427429448195818
baron-human,logcounts,zifa,16,0.4512005791229796
baron-human,logcounts,vasc,96,nan
baron-human,logcounts,vasc,48,0.27868753909450394
baron-human,logcounts,vasc,32,nan
baron-human,logcounts,vasc,2,0.42173267164120337
baron-human,logcounts,vasc,4,0.371318542084447
baron-human,logcounts,vasc,8,0.4036813703305659
baron-human,logcounts,vasc,16,0.3020442520801068
baron-human,logcounts,lle,96,0.04310303382440652
baron-human,logcounts,lle,48,0.05033141025233748
baron-human,logcounts,lle,32,0.05668879121782893
baron-human,logcounts,lle,2,0.4110818503185123
baron-human,logcounts,lle,4,0.26402075333538216
baron-human,logcounts,lle,8,0.1525111744409202
baron-human,logcounts,lle,16,0.09652420508531093
baron-human,logcounts,kpca-cos,96,0.44821713112622136
baron-human,logcounts,kpca-cos,48,0.44857413724770634
baron-human,logcounts,kpca-cos,32,0.4482585958766364
baron-human,logcounts,kpca-cos,2,0.40709753882462696
baron-human,logcounts,kpca-cos,4,0.4333857396904072
baron-human,logcounts,kpca-cos,8,0.44727642953655217
baron-human,logcounts,kpca-cos,16,0.44716010544413
baron-human,logcounts,grp,96,0.5581051531041624
baron-human,logcounts,grp,48,0.45753145156168856
baron-human,logcounts,grp,32,0.4584672018112503
baron-human,logcounts,grp,2,0.05221813783536281
baron-human,logcounts,grp,4,0.1321476584083037
baron-human,logcounts,grp,8,0.09635486490697254
baron-human,logcounts,grp,16,0.2835773986318794
baron-human,logcounts,pmf,96,0.5669528727282783
baron-human,logcounts,pmf,48,0.5426988754038399
baron-human,logcounts,pmf,32,0.5097513972806136
baron-human,logcounts,pmf,2,0.41121754290854406
baron-human,logcounts,pmf,4,0.41973531541495357
baron-human,logcounts,pmf,8,0.452158091941472
baron-human,logcounts,pmf,16,0.4882032648930719
baron-human,logcounts,ipca,96,0.4048963580533614
baron-human,logcounts,ipca,48,0.4065124802438422
baron-human,logcounts,ipca,32,0.4068432077439941
baron-human,logcounts,ipca,2,0.37532233026731626
baron-human,logcounts,ipca,4,0.39731283495700315
baron-human,logcounts,ipca,8,0.40532523956768873
baron-human,logcounts,ipca,16,0.40638607985786046
baron-human,logcounts,lda,96,0.5265664768068088
baron-human,logcounts,lda,48,0.47995278976642086
baron-human,logcounts,lda,32,0.45527491959956334
baron-human,logcounts,lda,2,0.39066107433880914
baron-human,logcounts,lda,4,0.46029150113412565
baron-human,logcounts,lda,8,0.43564416605693074
baron-human,logcounts,lda,16,0.4544123919789586
baron-human,logcounts,kpca-sig,96,0.41348489308946773
baron-human,logcounts,kpca-sig,48,0.41594867810419245
baron-human,logcounts,kpca-sig,32,0.41658219763288346
baron-human,logcounts,kpca-sig,2,0.3888876945153388
baron-human,logcounts,kpca-sig,4,0.40779093319732557
baron-human,logcounts,kpca-sig,8,0.4151627833120138
baron-human,logcounts,kpca-sig,16,0.4162857122437045
baron-human,logcounts,umap,96,0.029638239959844277
baron-human,logcounts,umap,48,0.04230117047989437
baron-human,logcounts,umap,32,0.01479454358784119
baron-human,logcounts,umap,2,0.3008523944086689
baron-human,logcounts,umap,4,-0.01926893079211617
baron-human,logcounts,umap,8,-0.02477100496455055
baron-human,logcounts,umap,16,0.05528565360151307
baron-human,logcounts,phate,96,0.3500416771979208
baron-human,logcounts,phate,48,0.3426277295260813
baron-human,logcounts,phate,32,0.34857361177185625
baron-human,logcounts,phate,2,0.35189236009982794
baron-human,logcounts,phate,4,0.3530905456630229
baron-human,logcounts,phate,8,0.3546884868308377
baron-human,logcounts,phate,16,0.35586294328708457
baron-human,logcounts,fica,96,0.13100202822406523
baron-human,logcounts,fica,48,0.15599944928687065
baron-human,logcounts,fica,32,0.18112379345391655
baron-human,logcounts,fica,2,0.3671189567857402
baron-human,logcounts,fica,4,0.34209622332921263
baron-human,logcounts,fica,8,0.2916355163638801
baron-human,logcounts,fica,16,0.23976314494473622
baron-human,logcounts,isomap,96,0.30269015040913727
baron-human,logcounts,isomap,48,0.3011077357631101
baron-human,logcounts,isomap,32,0.2926709843058728
baron-human,logcounts,isomap,2,0.2488382545967301
baron-human,logcounts,isomap,4,0.2585196007327873
baron-human,logcounts,isomap,8,0.2731570720581417
baron-human,logcounts,isomap,16,0.273993001070719
baron-human,logcounts,tsvd,96,0.7081051399782742
baron-human,logcounts,tsvd,48,0.663007890478729
baron-human,logcounts,tsvd,32,0.643885989194719
baron-human,logcounts,tsvd,2,0.40474064554057576
baron-human,logcounts,tsvd,4,0.45997391982610886
baron-human,logcounts,tsvd,8,0.5339235370212406
baron-human,logcounts,tsvd,16,0.6068077306988442
baron-human,logcounts,vpac,96,0.3505419443229098
baron-human,logcounts,vpac,48,0.35233584216663133
baron-human,logcounts,vpac,32,0.37450588470221735
baron-human,logcounts,vpac,2,0.42563719684543705
baron-human,logcounts,vpac,4,0.34851314895328195
baron-human,logcounts,vpac,8,0.36367457158718774
baron-human,logcounts,vpac,16,0.3784607052892143
baron-human,logcounts,kpca-rbf,96,0.4416056410700157
baron-human,logcounts,kpca-rbf,48,0.44572243370549797
baron-human,logcounts,kpca-rbf,32,0.44895035697121527
baron-human,logcounts,kpca-rbf,2,0.43083112882221397
baron-human,logcounts,kpca-rbf,4,0.459585565526168
baron-human,logcounts,kpca-rbf,8,0.4606938995960585
baron-human,logcounts,kpca-rbf,16,0.45464865434774854
baron-human,logcounts,mctsne,96,0.34008418485531183
baron-human,logcounts,mctsne,48,nan
baron-human,logcounts,mctsne,32,nan
baron-human,logcounts,mctsne,2,0.3619077999724045
baron-human,logcounts,mctsne,4,0.3762249954120892
baron-human,logcounts,mctsne,8,0.382317329198609
baron-human,logcounts,nmf,96,0.4608895748044261
baron-human,logcounts,nmf,48,0.33714909867075127
baron-human,logcounts,nmf,32,0.45652426632612464
baron-human,logcounts,nmf,2,0.392626324095652
baron-human,logcounts,nmf,4,0.3772045008385034
