dataset,count,method,dimensions,rho.euclidean
baron-human,logcounts,lle,32,0.3221994701767709
baron-human,logcounts,lle,2,0.3391467082714115
baron-human,logcounts,lle,16,0.30931678175306904
baron-human,logcounts,lle,96,0.37355457985774293
baron-human,logcounts,lle,8,0.29699785431077685
baron-human,logcounts,lle,48,0.3688325739587458
baron-human,logcounts,lsnmf,4,0.42860978408381495
baron-human,logcounts,lsnmf,32,0.24901212468222614
baron-human,logcounts,lsnmf,2,0.12887811425785559
baron-human,logcounts,lsnmf,16,0.10817564908681034
baron-human,logcounts,lsnmf,96,-0.003475496917471149
baron-human,logcounts,lsnmf,8,0.4914226410121248
baron-human,logcounts,lsnmf,48,0.21477982717546767
baron-human,logcounts,phate,4,0.3891036426756208
baron-human,logcounts,phate,32,0.3912144488704197
baron-human,logcounts,phate,2,0.4045557556130362
baron-human,logcounts,phate,16,0.4112277290295189
baron-human,logcounts,phate,96,0.41614555424320704
baron-human,logcounts,phate,8,0.3901497183449283
baron-human,logcounts,phate,48,0.39860424693546537
baron-human,logcounts,kpca-rbf,4,-0.10119442979253954
baron-human,logcounts,kpca-rbf,32,-0.16714528993133873
baron-human,logcounts,kpca-rbf,2,-0.10615318421265026
baron-human,logcounts,kpca-rbf,16,-0.1348632206071205
baron-human,logcounts,kpca-rbf,96,-0.38421764266966046
baron-human,logcounts,kpca-rbf,8,-0.10358853539764303
baron-human,logcounts,kpca-rbf,48,-0.20788720335512806
baron-human,logcounts,isomap,4,0.521454424780231
baron-human,logcounts,isomap,32,0.5655938567804102
baron-human,logcounts,isomap,2,0.47009484882892666
baron-human,logcounts,isomap,16,0.5615466606913707
baron-human,logcounts,isomap,96,0.5636013215670697
baron-human,logcounts,isomap,8,0.554235330307829
baron-human,logcounts,isomap,48,0.5691757239243915
baron-human,logcounts,saucie,4,-0.006831335469760303
baron-human,logcounts,saucie,32,0.01493673021068467
baron-human,logcounts,saucie,2,0.00014551919564213516
baron-human,logcounts,saucie,16,0.0007294449598328248
baron-human,logcounts,saucie,96,-0.010283310817610847
baron-human,logcounts,saucie,8,-0.000598817155067945
baron-human,logcounts,saucie,48,0.005325798851301028
baron-human,logcounts,bd,4,0.5962414896285012
baron-human,logcounts,bd,32,0.30575152898904734
baron-human,logcounts,bd,2,0.3741974797748194
baron-human,logcounts,bd,16,0.5281810483739534
baron-human,logcounts,bd,96,0.23061910527937346
baron-human,logcounts,bd,8,0.36638298482241977
baron-human,logcounts,bd,48,-0.0617213543893096
baron-human,logcounts,lda,4,0.25549121448657036
baron-human,logcounts,lda,32,0.19128516049412198
baron-human,logcounts,lda,2,0.2958265428025941
baron-human,logcounts,lda,16,0.16050453919796412
baron-human,logcounts,lda,96,0.04969896026993276
baron-human,logcounts,lda,8,0.2533511517471201
baron-human,logcounts,lda,48,0.1772814314277676
baron-human,logcounts,spectral,4,0.4743252100906538
baron-human,logcounts,spectral,32,0.5120221509602155
baron-human,logcounts,spectral,2,0.3866594005425238
baron-human,logcounts,spectral,16,0.49920963799367063
baron-human,logcounts,spectral,96,0.5183422405925155
baron-human,logcounts,spectral,8,0.4734046571112056
baron-human,logcounts,spectral,48,0.5468052504581558
baron-human,logcounts,grp,4,0.18190938083746738
baron-human,logcounts,grp,32,0.4112188418385099
baron-human,logcounts,grp,2,0.0602272997380263
baron-human,logcounts,grp,16,0.3132790475907511
baron-human,logcounts,grp,96,0.6162877256047663
baron-human,logcounts,grp,8,0.23157362970409717
baron-human,logcounts,grp,48,0.484137379089005
baron-human,logcounts,fa,4,0.5034322044739764
baron-human,logcounts,fa,32,0.6421097068875912
baron-human,logcounts,fa,2,0.5012561145806664
baron-human,logcounts,fa,16,0.6065727335813075
baron-human,logcounts,fa,96,0.689917257253091
baron-human,logcounts,fa,8,0.5787620769196877
baron-human,logcounts,fa,48,0.6525623176889614
baron-human,logcounts,mctsne,4,0.49021271034960096
baron-human,logcounts,mctsne,32,nan
baron-human,logcounts,mctsne,2,0.48163018310023015
baron-human,logcounts,mctsne,96,0.3148658817447963
baron-human,logcounts,mctsne,8,0.49921871210916813
baron-human,logcounts,mctsne,48,nan
baron-human,logcounts,nmf,4,0.36444225278049114
baron-human,logcounts,nmf,32,0.4181031096815639
baron-human,logcounts,nmf,2,0.4155181943969301
baron-human,logcounts,nmf,16,0.4406173067215281
baron-human,logcounts,nmf,96,0.4254190333598733
baron-human,logcounts,nmf,8,0.40385997212699415
baron-human,logcounts,nmf,48,0.38387860398845847
baron-human,logcounts,kpca-pol,4,0.6007230159893606
baron-human,logcounts,kpca-pol,32,0.7324663540271013
baron-human,logcounts,kpca-pol,2,0.5401864604261938
baron-human,logcounts,kpca-pol,16,0.7041242158680581
baron-human,logcounts,kpca-pol,96,0.7688700804916356
baron-human,logcounts,kpca-pol,8,0.6587206962060206
baron-human,logcounts,kpca-pol,48,0.7461216407819679
baron-human,logcounts,vasc,4,0.46171617947034127
baron-human,logcounts,vasc,32,nan
baron-human,logcounts,vasc,2,0.573437781307252
baron-human,logcounts,vasc,16,0.33008219592460486
baron-human,logcounts,vasc,96,nan
baron-human,logcounts,vasc,8,0.4308815325961962
baron-human,logcounts,vasc,48,0.29818192789010706
baron-human,logcounts,kpca-cos,4,0.3070700960595127
baron-human,logcounts,kpca-cos,32,0.35724990268524587
baron-human,logcounts,kpca-cos,2,0.2645763031041231
baron-human,logcounts,kpca-cos,16,0.36441460731941766
baron-human,logcounts,kpca-cos,96,0.29583395627884695
baron-human,logcounts,kpca-cos,8,0.3380810832717653
baron-human,logcounts,kpca-cos,48,0.34705656009040664
baron-human,logcounts,pca,4,0.4764361673569167
baron-human,logcounts,pca,32,0.6086613310459535
baron-human,logcounts,pca,2,0.4244352559158528
baron-human,logcounts,pca,16,0.5862295632295805
baron-human,logcounts,pca,96,0.6560860741670919
baron-human,logcounts,pca,8,0.5377913794707233
baron-human,logcounts,pca,48,0.6220572243114276
baron-human,logcounts,pmf,4,0.5721995351451741
baron-human,logcounts,pmf,32,0.6203149574728758
baron-human,logcounts,pmf,2,0.5113920705092349
baron-human,logcounts,pmf,16,0.595596564011475
baron-human,logcounts,pmf,96,0.65526175974461
baron-human,logcounts,pmf,8,0.5900114782473268
baron-human,logcounts,pmf,48,0.6525499236059051
baron-human,logcounts,snmf,4,0.4411078497532013
baron-human,logcounts,snmf,32,0.5896582438465579
baron-human,logcounts,snmf,2,0.41064512479398035
baron-human,logcounts,snmf,16,0.5679505765096521
baron-human,logcounts,snmf,96,0.584139605611128
baron-human,logcounts,snmf,8,0.5449868693186831
baron-human,logcounts,snmf,48,0.6717939878416253
baron-human,logcounts,ipca,4,0.47643616717547693
baron-human,logcounts,ipca,32,0.6086380807382332
baron-human,logcounts,ipca,2,0.4244352559206864
baron-human,logcounts,ipca,16,0.5862388706045576
baron-human,logcounts,ipca,96,0.6579210626586598
baron-human,logcounts,ipca,8,0.5377910010435126
baron-human,logcounts,ipca,48,0.6227402802751676
baron-human,logcounts,icm,4,0.4840487404678176
baron-human,logcounts,icm,32,0.6415990239581517
baron-human,logcounts,icm,2,0.40680617734323965
baron-human,logcounts,icm,16,0.5927461932517945
baron-human,logcounts,icm,96,0.5029359169153096
baron-human,logcounts,icm,8,0.4998861612056389
baron-human,logcounts,icm,48,0.6532470981967999
baron-human,logcounts,ivis,4,0.20631484961412866
baron-human,logcounts,ivis,32,0.2665544129369197
baron-human,logcounts,ivis,2,0.2984134475169129
baron-human,logcounts,ivis,16,0.2637908039374451
baron-human,logcounts,ivis,96,0.2215577689962848
baron-human,logcounts,ivis,8,0.2660022139246954
baron-human,logcounts,ivis,48,0.2937267687974427
baron-mouse,counts,spca,4,0.9930296975738461
baron-mouse,counts,spca,32,0.9996908618043981
baron-mouse,counts,spca,2,0.9244617523134122
baron-mouse,counts,spca,16,0.9991706938569386
baron-mouse,counts,spca,96,0.9998962017657452
baron-mouse,counts,spca,8,0.9968091326292139
baron-mouse,counts,spca,48,0.9998012954793288
baron-mouse,counts,tsvd,4,0.9929326750102418
baron-mouse,counts,tsvd,32,0.9996607943783888
baron-mouse,counts,tsvd,2,0.8841189428384004
baron-mouse,counts,tsvd,16,0.9991331341976013
baron-mouse,counts,tsvd,96,0.9998766487580546
baron-mouse,counts,tsvd,8,0.9957486813258486
baron-mouse,counts,tsvd,48,0.999774260172296
baron-mouse,counts,spca-batch,4,0.7516667625156899
baron-mouse,counts,spca-batch,32,0.6399896319348894
baron-mouse,counts,spca-batch,2,0.8049199822170375
baron-mouse,counts,spca-batch,16,0.6708634434969389
baron-mouse,counts,spca-batch,96,0.5409536559347372
baron-mouse,counts,spca-batch,8,0.8097623204688525
baron-mouse,counts,spca-batch,48,0.5835435937841876
baron-mouse,counts,zifa,4,0.18681527232110584
baron-mouse,counts,zifa,32,0.10561264240766356
baron-mouse,counts,zifa,2,0.17703413982434438
baron-mouse,counts,zifa,16,0.11845267173109199
baron-mouse,counts,zifa,8,0.13637346716431956
baron-mouse,counts,zifa,48,0.10156514771919219
baron-mouse,counts,tga,4,0.9629087920792784
baron-mouse,counts,tga,32,0.995919839824958
baron-mouse,counts,tga,2,0.8978414195589279
baron-mouse,counts,tga,16,0.9860448061928021
baron-mouse,counts,tga,96,0.9962716995625919
baron-mouse,counts,tga,8,0.9915885225614368
baron-mouse,counts,tga,48,0.9962099956117709
baron-mouse,counts,nsnmf,4,0.7358551455031196
baron-mouse,counts,nsnmf,32,0.6559186115511363
baron-mouse,counts,nsnmf,2,0.6094916682509312
baron-mouse,counts,nsnmf,16,0.6837716014295463
baron-mouse,counts,nsnmf,96,0.5532470391996136
baron-mouse,counts,nsnmf,8,0.7568166822436944
baron-mouse,counts,nsnmf,48,0.5578617074659696
baron-mouse,counts,vpac,4,0.18961247098503678
baron-mouse,counts,vpac,32,0.1341623319357453
baron-mouse,counts,vpac,2,0.12479774997472455
baron-mouse,counts,vpac,16,0.1069288898353275
baron-mouse,counts,vpac,96,0.12178515746001722
baron-mouse,counts,vpac,8,0.05561110087127679
baron-mouse,counts,vpac,48,0.1452225990073407
baron-mouse,counts,umap,4,0.8465744559896619
baron-mouse,counts,umap,32,0.8026877530054943
baron-mouse,counts,umap,2,0.8342959133428396
baron-mouse,counts,umap,16,0.8443553442334226
baron-mouse,counts,umap,96,0.767088803591519
baron-mouse,counts,umap,8,0.7665639704268642
baron-mouse,counts,umap,48,0.7864613733704424
baron-mouse,counts,kpca-sig,4,nan
baron-mouse,counts,kpca-sig,32,nan
baron-mouse,counts,kpca-sig,2,nan
baron-mouse,counts,kpca-sig,16,nan
baron-mouse,counts,kpca-sig,96,nan
baron-mouse,counts,kpca-sig,8,nan
baron-mouse,counts,kpca-sig,48,nan
baron-mouse,counts,nmf2,4,0.8055353227605647
baron-mouse,counts,nmf2,32,0.8126884808909907
baron-mouse,counts,nmf2,2,0.850344672756685
baron-mouse,counts,nmf2,16,0.844429656340718
baron-mouse,counts,nmf2,96,0.7863234888869061
baron-mouse,counts,nmf2,8,0.8058457354189559
baron-mouse,counts,nmf2,48,0.7773095781766244
baron-mouse,counts,srp,4,0.15154637541301302
baron-mouse,counts,srp,32,0.6661327124489973
baron-mouse,counts,srp,2,-0.03269154054521229
baron-mouse,counts,srp,16,0.41203837144127947
baron-mouse,counts,srp,96,0.7909310736465247
baron-mouse,counts,srp,8,0.23689753437202976
baron-mouse,counts,srp,48,0.3706285814755018
baron-mouse,counts,psmf,4,0.15482607358310174
baron-mouse,counts,psmf,32,0.16484041970828564
baron-mouse,counts,psmf,2,0.3501644526311825
baron-mouse,counts,psmf,16,0.20003634801083633
baron-mouse,counts,psmf,96,0.13368760895881815
baron-mouse,counts,psmf,8,0.13889462363391095
baron-mouse,counts,psmf,48,0.10120737428317163
baron-mouse,counts,fica,4,0.884864732554477
baron-mouse,counts,fica,32,0.2775986830358277
baron-mouse,counts,fica,2,0.9072352880550364
baron-mouse,counts,fica,16,0.4567442583338939
baron-mouse,counts,fica,96,0.03445955834825009
baron-mouse,counts,fica,8,0.6641239980608193
baron-mouse,counts,fica,48,0.16798872376943585
baron-mouse,counts,lle,4,0.41448178046825596
baron-mouse,counts,lle,32,0.3727197317886729
baron-mouse,counts,lle,2,0.4014389683091738
baron-mouse,counts,lle,16,0.47244234085896547
baron-mouse,counts,lle,96,0.25183505035763915
baron-mouse,counts,lle,8,0.5298993136117378
baron-mouse,counts,lle,48,0.3404077368254562
baron-mouse,counts,lsnmf,4,-0.009218224010131459
baron-mouse,counts,lsnmf,32,0.0023405699787724466
baron-mouse,counts,lsnmf,2,-0.00369891345841505
baron-mouse,counts,lsnmf,16,-0.001512845018018891
baron-mouse,counts,lsnmf,96,-0.009046488328904624
baron-mouse,counts,lsnmf,8,0.002456134685129411
baron-mouse,counts,lsnmf,48,-0.006171670025347333
