dataset,count,method,dimensions,rho.correlation
baron-human,counts,nmf2,8,0.7760042495195173
baron-human,counts,nmf2,16,0.7945865463448737
baron-human,counts,icm,96,0.06294577133345547
baron-human,counts,icm,48,-0.03819673529539948
baron-human,counts,icm,32,nan
baron-human,counts,icm,2,nan
baron-human,counts,icm,4,nan
baron-human,counts,icm,8,nan
baron-human,counts,icm,16,nan
baron-human,counts,pca,96,0.7099166109399921
baron-human,counts,pca,48,0.7103441922332911
baron-human,counts,pca,32,0.7111085025213348
baron-human,counts,pca,2,0.2924817888099836
baron-human,counts,pca,4,0.6124948666476187
baron-human,counts,pca,8,0.71179473029731
baron-human,counts,pca,16,0.7131072316296625
baron-human,counts,saucie,96,0.0021885479760369296
baron-human,counts,saucie,48,0.0007049936897081657
baron-human,counts,saucie,32,-0.0003770892994463398
baron-human,counts,saucie,2,-0.010758147118575279
baron-human,counts,saucie,4,0.004406975815308654
baron-human,counts,saucie,8,0.0028628292234900614
baron-human,counts,saucie,16,-0.003502224605649238
baron-human,counts,spca,96,0.7096020127191335
baron-human,counts,spca,48,0.7085450012574971
baron-human,counts,spca,32,0.7082821810312415
baron-human,counts,spca,2,0.296331458012203
baron-human,counts,spca,4,0.6124949560049223
baron-human,counts,spca,8,0.7071133312447045
baron-human,counts,spca,16,0.7083231246324488
baron-human,counts,spca-batch,96,0.6362799772233588
baron-human,counts,spca-batch,48,0.3681414563046732
baron-human,counts,spca-batch,32,0.6398406299499481
baron-human,counts,spca-batch,2,0.4485561386539211
baron-human,counts,spca-batch,4,0.432073993931382
baron-human,counts,spca-batch,8,0.712552856203044
baron-human,counts,spca-batch,16,0.4832436155280482
baron-human,counts,nsnmf,96,0.39977592075922613
baron-human,counts,nsnmf,48,0.3749714932084206
baron-human,counts,nsnmf,32,0.35075569496272097
baron-human,counts,nsnmf,2,0.2484742973232625
baron-human,counts,nsnmf,4,0.5917965370285151
baron-human,counts,nsnmf,8,0.49376858604938983
baron-human,counts,nsnmf,16,0.38951952002326246
baron-human,counts,lsnmf,96,0.0001794616377047986
baron-human,counts,lsnmf,48,-0.00012491640068648557
baron-human,counts,lsnmf,32,-3.711980831384976e-05
baron-human,counts,lsnmf,2,-0.0007405171972030511
baron-human,counts,lsnmf,4,-0.0001288745221423868
baron-human,counts,lsnmf,8,0.00012271974379698584
baron-human,counts,lsnmf,16,-0.00021198134112109782
baron-human,counts,bd,96,0.6561086076696069
baron-human,counts,bd,48,0.6750194782221316
baron-human,counts,bd,32,0.5565215292916394
baron-human,counts,bd,2,0.002145590320214208
baron-human,counts,bd,4,0.7366971621905055
baron-human,counts,bd,8,0.7481403002824396
baron-human,counts,bd,16,0.7030258940059393
baron-human,counts,fa,96,0.2669681114897417
baron-human,counts,fa,48,0.3361763435550912
baron-human,counts,fa,32,0.3524993476583705
baron-human,counts,fa,2,-0.06278217360837035
baron-human,counts,fa,4,0.23882194280586522
baron-human,counts,fa,8,0.5382155724566017
baron-human,counts,fa,16,0.43438796683741565
