"","criterion","dataset","bd","fa","fica","grp","icm","ipca","isomap","ivis","kpca.cos","kpca.pol","kpca.rbf","kpca.sig","lda","lle","lsnmf","mctsne","nmf","nmf2","nsnmf","pca","phate","pmf","saucie","snmf","spca","spca.batch","spectral","srp","tsvd","umap","vasc","vpac","zifa"
"122","vrc","TabulaMuris_Liver_FACS",0.0600938732649025,0.391798433789045,0.601206504319593,0.167927502946831,0.556475723087493,0.504135268281826,0.340882314232096,0.583867950347368,0.354243237859704,0.298374700439214,0.354584354165279,0.656598233691034,0.386899055342465,0.317648103652109,0.542620885126216,0.0148409426737186,0.463911550349372,0.0608176383355512,0.049485545333831,0.504149624653518,0.397592816738064,0.11099414916562,-0.000264184457682131,0.551671258604017,0.537016397869825,0.488408980664603,0.239374163983062,0.0642514886798913,0.544072604978059,0.328790517607123,0.533376105048664,0.0614813071585079,0.553345257418452
"123","vrc","TabulaMuris_Lung_FACS",0.298770895746103,0.60284109904244,0.728559463742255,0.0927964941031186,0.609879061991817,0.716985982215662,0.163779728794828,0.635140251835662,0.697569790257244,0.183317797386429,0.380158492322274,0.425164563237723,0.417217198392641,0.0535037499428731,0.618721328872081,0.303381019146783,0.355015376276469,0.372354665383267,0.414654052555898,0.727337458083696,0.728752114479535,0.307512234240175,0.00501920455963089,0.293278288964181,0.71743730142044,0.160528171078377,0.244675384444889,0.094709729429245,0.711513682980793,0.428925890190252,0.721493559671149,0.516283779123765,0.730933265068684
"124","vrc","TabulaMuris_Mammary_10X",0.456531435708279,0.553300121538804,0.521748558183866,0.348557757776552,0.392578645312211,0.516160959193541,0.718833218847802,0.54104647120906,0.539209731362518,0.441632448400928,0.474656731765773,0.702125039873436,0.470798007989908,0.240235617861342,0.459532339319991,0.905980326551517,0.458713681675239,0.438505487761544,0.453445072495748,0.516147497769099,0.941011367227467,0.46991994070362,0.000202129383420031,0.456689431395992,0.518221357770821,0.515471784530749,0.618618606491005,0.273835095355551,0.446092128710442,0.895137024513467,0.889070476148978,0.36373797125472,0.531572842796279
"125","vrc","TabulaMuris_Mammary_FACS",0.387691812598086,0.619030884467487,0.734451082800952,0.108189948386543,0.47273447950025,0.460840388568544,0.564790541141872,0.726561268606479,0.79555078869417,0.382364076243113,0.331442997077564,0.52157077938193,0.0733595796181193,0.682494705421124,0.474170526131913,0.761029628106523,0.473564073649129,0.110592125220544,0.472432433839931,0.459069944092249,0.800726771804861,0.26344741340725,0.000598200132167942,0.47219503373587,0.460939208149431,0.726122737967799,0.749525531936842,0.22251195148884,0.459465534042844,0.640144876623051,0.802751984342983,0.405235836956883,0.473764152431419
"127","vrc","TabulaMuris_Marrow_FACS",0.317676720653881,0.464467219082248,0.605254364913134,0.0326644376200846,0.282932451178221,0.59044912976595,0.231495358667475,0.812018052140077,0.225545095207773,0.232222252289336,0.484088423069365,0.320615457363117,0.285700131469832,0.030813878713388,0.551433774920036,0.496072069269505,0.286266306828218,0.271318894326267,0.239086901568046,0.582491374499586,0.760820005764225,0.232912610076602,0.000374856938230838,0.207473535882652,0.58937556039116,0.252124278432139,0.444183096901198,0.194472791927724,0.464189550731867,0.215369525389596,0.714781339610031,0.153503592798209,0.509100464223232
"128","vrc","TabulaMuris_Muscle_10X",0.453418315414895,0.722354229692811,0.612824512407352,0.166745138620614,0.459882701692801,0.615208424621253,0.596330918209527,0.94743560073794,0.71683289620128,0.425528939035346,0.698451538708663,0.612619105991613,0.380416782535699,0.55199564327434,0.893400736613599,0.899195665562442,0.708100123794937,0.55219422810621,0.311068311752028,0.605233171761192,0.905283476556472,0.730254217269968,-0.000338170652783706,0.468180664428083,0.607735288718596,0.645977783491421,0.769650668066167,0.428756520759258,0.702840461294776,0.934761494644902,0.819817617754153,0.338281185622603,0.771789111710146
"129","vrc","TabulaMuris_Muscle_FACS",0.220292274809149,0.430454414340186,0.607906891681005,0.0262138807476519,0.365083199703258,0.612697150989151,0.291211653112327,0.547210344171329,0.601646523031639,0.0285860976448247,0.60651039151409,0.448681953816878,0.32689019954642,0.433547265988625,0.396069349435519,0.347994704646913,0.418755522125999,0.374099130760476,0.324963207548675,0.616083560654307,0.634803841117568,0.52061895051939,0.000265525852019973,0.263207668594016,0.61185062489429,0.434396835135645,0.496567226313425,0.190123962126247,0.616063667335328,0.353054199967056,0.62789491487492,0.301915655498454,0.4451193260659
"131","vrc","TabulaMuris_Skin_FACS",0.713188659037804,0.684253077988724,0.754758419129267,0.0934174498598282,0.711097439901966,0.724213488782658,0.600604501075596,0.608299894739754,0.751367188709505,0.582316941611321,0.743408248268176,0.684532543204863,0.657448671467649,0.456794782834458,0.711527917727444,0.509588834283052,0.701694884017118,0.0198529195646244,0.0635411718967107,0.722064542098327,0.756700136277998,0.0924693128952954,0.00535243765287406,0.70482519429423,0.722607492411098,0.753228311024449,0.0155703373690686,0.0510927758260855,0.732538588991405,0.558309960573484,0.756265429394737,0.0982448051165574,0.743705571247994
"132","vrc","TabulaMuris_Spleen_10X",0.0223266773861097,0.91704717052508,0.841524602918227,0.130314319770523,0.643665099958503,0.26367213899772,0.36025869069713,-0.00244481287472737,0.805683081039629,0.0176449013824514,0.357559148139703,0.873441428131657,0.88336919058117,0.334125704798749,0.00686631921199782,0.848687633561096,0.0121883114142159,0.123612660868194,0.244656275093681,0.26476251857314,0.964528320015945,0.862642176329305,0.000758325057829496,0.0154264011109426,0.264205676146706,0.544339492848495,0.647154849140994,0.0117555678742198,0.0117988552367676,0.892906721543162,0.797902628512983,0.0466426755973527,0.846607883081767
"133","vrc","TabulaMuris_Spleen_FACS",0.910592988152674,0.90316434930851,0.931638738080176,0.0497073569975161,0.912648595853785,0.839613819217824,0.247492849798245,0.909053097863366,0.920394925661844,0.089276099539701,0.918284631731063,0.931330465948584,0.882490949117454,0.384062202793651,0.918975528927336,0.221534568047285,0.908181529789765,0.794095485567467,0.283118428773161,0.816946372460652,0.915269095912328,0.874368931066477,-0.00669263190008094,0.919610622788086,0.83803349582925,0.899089625059195,0.0333974444658593,0.0450347069925592,0.912901121942367,0.160468219111669,0.937515663976648,0.667242973154169,0.907074321229469
