,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,kpca-sig,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
dbs,TabulaMuris_Mammary_FACS,0.1543214157091878,0.002082432282678182,0.002082432282678182,0.002082432282678182,0.5261744724151585,0.002082432282678182,0.002082432282678182,0.1530027785390858,0.15541690288068227,0.002082432282678182,0.028858524657261443,0.5522674545701733,0.7228240128701316,0.004031831606919655,0.5272927828258339,0.7057661726035528,0.15245164044688306,0.15444532070533434,0.02779323300178408,0.002082432282678182,0.010748111180956659,0.1543214157091878,0.003061708713337754,0.002082432282678182,0.15440300410025398,0.1543214157091878,0.1236221902476483,0.005675110540633971,0.002082432282678182,0.4644245718087383,0.011176733991552449,0.4555674655925829,0.009067606948255112
dbs,TabulaMuris_Marrow_10X,0.002249465300034022,0.3056876181511458,0.4181633908011669,0.4517602739077298,0.002487966440633759,0.4397331806021185,0.013359813762937106,0.4924727107338698,0.4275653982755268,0.2962708402137208,0.0009811538666568624,0.4236445086610053,0.30133821901912194,0.4111171036976409,0.01961934878223615,0.005858452986879949,0.4348553127408942,0.0022232265476932467,0.3805674672526191,0.4397331806021185,0.134457900291964,0.32591169855441304,0.0030671587771398585,0.4244456155732474,0.4402592692327512,0.4414481375831069,0.4494467206434953,0.16070423792408078,0.4413928425592064,0.1537549264070191,0.010242096102667114,0.27735829179500404,0.0019694807240465406
dbs,TabulaMuris_Marrow_FACS,0.08569268967972098,0.01846047857384735,0.07056172868038177,0.09440377828862813,0.3535522087237617,0.0795546530002216,0.09115540468899533,0.0026814005557630914,0.07717277414799455,0.002870937205361212,0.09019893882117452,0.14621105789833644,0.35442757149302073,0.07544787817396773,0.2360451944069588,0.022215511299774855,0.3648010299119466,0.026650097106605184,0.2705443747753044,0.08717229039681246,0.6286534429566921,0.3110894166207294,0.0006813098577298365,0.09794917616106358,0.0795546530002216,0.07827946983259494,0.1700881898085717,0.00301116714963567,0.0323311285775331,0.4757895403873783,0.007774366473119964,0.2489278210168865,0.014971304720725647
dbs,TabulaMuris_Muscle_10X,0.004584110675160626,0.5527854134449373,0.4093551645090479,0.16625161893465978,0.5509734596055171,0.4447603044541395,0.563349202912529,0.7013596057447451,0.6860015005923912,0.4911389079746956,0.5588249113092707,0.5001704064184629,0.463251800844836,0.5617856350040518,0.11157992372204148,0.8725087269078692,0.5271902907909092,0.5689803918862889,0.4324117801750679,0.449528559637101,0.8195883066530288,0.4497176198034758,0.0010514448360561678,0.5679113663105023,0.4350695976564677,0.5324824881375989,0.6917783172402011,0.004059637981729279,0.3257249596467403,0.854937851962881,0.1370178857740204,0.5248730829646373,0.5416831237796151
dbs,TabulaMuris_Muscle_FACS,0.4105089326932949,0.0034114097551692147,0.03044061827060134,0.024200444723432808,0.009282343203113231,0.03240190017371376,0.010043284517889007,0.4101402299230532,0.03499464276968006,0.05968637958825203,0.09279109077416443,0.120205945403103,0.4323371121496887,0.02384768468675957,0.5042983218006257,0.03143728378881072,0.030379599846859232,0.009282343203113231,0.3913425941447723,0.09154481345778977,0.7216714917083027,0.06778510539818322,0.0016206415396764324,0.031143304972877674,0.09681425378206264,0.030379599846859232,0.1136882371308286,0.003809542606689608,0.03370965758612991,0.3636999978488248,0.3642024610191003,0.4319120432311752,0.04500271837801086
dbs,TabulaMuris_Pancreas_FACS,0.06563488958548702,0.4054668269005765,0.2435317081531461,0.06740057961439501,0.009526337535685644,0.11842563528510068,0.2814308510334149,0.06498393698084644,0.015211619140404581,0.005130447134865975,0.14232876732528096,0.3039321102546145,0.36725953911156783,0.3289183366371574,0.3499201679454426,0.3394194172729243,0.02000834732379948,0.02240126256960984,0.3625767740090776,0.12202724186668434,0.3632284280845825,0.4889181565917809,0.006192567073260821,0.06610634423369764,0.1176193719173116,0.06535796349325836,0.4195395466037257,0.33541008586938176,0.1844747191379021,0.30069976444704843,0.4954363439455465,0.5419920678107343,0.4052508017822058
dbs,TabulaMuris_Skin_FACS,0.026476125563957658,0.2005071244170888,0.02757300882396101,0.01759631019293989,0.6372527187553783,0.19879729682657427,0.017554471698870658,0.06717339996865263,0.20084267942137607,0.03277117658640623,0.003927992639006016,0.20135236711805976,0.006987232800260651,0.0160713495648756,0.07332635702729684,0.029118713388908937,0.029654794912154826,0.02757300882396101,0.02801163734870853,0.1970998612996782,0.03132005029781602,0.0198628752693425,0.0018942032639489325,0.026476125563957658,0.19879729682657427,0.025942289361519225,0.018493924084762192,0.02056866351654421,0.19879729682657427,0.0155262595516534,0.19587810092562494,0.18673955985989746,0.036103405679505284
dbs,TabulaMuris_Spleen_10X,0.0389048484328202,0.01976924267170689,0.0389048484328202,0.039160556687928505,0.013162616460764987,0.0389048484328202,0.0389048484328202,0.0016779983109971146,0.0005509482255931196,0.03839346846916821,0.03839346846916821,0.039160556687928505,0.6687377704687594,0.0014572238773195238,0.03843338236122509,0.0011854242559888775,0.03843338236122509,0.03812972676693027,0.04309800373723813,0.0389048484328202,0.0552069144310319,0.03879220569864674,0.0008402076385146058,0.03843338236122509,0.0389048484328202,0.03817759173486055,0.5537650849398958,0.0389048484328202,0.0389048484328202,0.0381374019059861,0.03839346846916821,0.3123011786459108,0.6483975830390375
dbs,TabulaMuris_Spleen_FACS,0.008668658699928564,0.004891412254452486,0.04270722867427791,0.017934565066181858,0.004423561144161334,0.004423561144161334,0.02049282574882405,0.8405119443046871,0.03220806711654039,0.004423561144161334,0.0034002447283536788,0.058997966094019215,0.7881146041547527,0.004423561144161334,0.010642399413173185,0.07064187107894324,0.04270722867427791,0.04270722867427791,0.06383585566233524,0.08127501593880446,0.7922193903695941,0.0724173356020487,0.0066084589680668465,0.004423561144161334,0.004423561144161334,0.04270722867427791,0.003058118758034137,0.030903112783711183,0.08257540879862484,0.019415081782555084,0.004423561144161334,0.5708166499408219,0.8197227111221799
dbs,TabulaMuris_Thymus_10X,0.05300990602531652,0.06580752492053535,0.029271882693742163,0.014218884635051391,0.059531517978832785,0.06220717546778839,0.03571202404810611,0.0871790971752956,0.07589686432323403,0.01395377827272481,0.07361362396327889,0.0977612413759102,0.07692857153051665,0.06224588520731453,0.061627161705847686,0.05713059468776398,0.06466006673046773,0.029918093469545524,0.06907060181693307,0.06115392163699743,0.056862448719242925,0.10990249070338276,0.00834136669440542,0.06687357445691552,0.06098613186488752,0.05889855612305741,0.08771453675653379,0.005121847285568998,0.061369361582175264,0.056961522055447814,0.06268655453034477,0.05321393134817797,0.11357987671777918
dbs,TabulaMuris_Thymus_FACS,0.4545620279061837,0.08639280828176077,0.4521576686383394,0.4521576686383394,0.07557877455786391,0.4521576686383394,0.27178978213173666,0.4456335390068581,0.4545620279061837,0.0018033033494177734,0.005630504380755733,0.5988556789388222,0.4545620279061837,0.3469313659629543,0.3601002613719326,0.004098738151021216,0.4521576686383394,0.4521576686383394,0.06500392689486871,0.4521576686383394,0.2562397261609173,0.4545620279061837,0.0030890624494482213,0.4521576686383394,0.4521576686383394,0.4521576686383394,0.3420161168251392,0.4552664856952385,0.4521576686383394,0.0043884794140034026,0.04678354338847999,0.5642116606200396,0.23800273160471336
dbs,TabulaMuris_Tongue_10X,0.013784608313810677,0.15630728400098706,0.012497978049658735,0.097426841509108,0.001051078469542662,0.008880278761742213,0.09657482029359844,0.004499197923178811,0.2519439418339503,0.17261221876702038,0.000718922804429233,0.0036314494161372437,0.2232136510167168,0.04302595036238335,0.15536673808014131,0.021211432630927327,0.27692963149460714,0.007506264900667416,0.007046696683864944,0.20529751046389932,0.010708440602684185,0.013371844331843016,0.0009097843934796773,0.27544121404495664,0.008880278761742213,0.00426244038086742,0.042575427586444836,0.07838494441460274,0.0037942434924226384,0.01912287000908891,0.0030445066880785475,0.20397693372128767,0.00804343132715765
dbs,TabulaMuris_Tongue_FACS,0.06579453492135316,0.1091084134086442,0.06579453492135316,0.0658885792955002,0.0019034589255282255,0.0658885792955002,0.0658885792955002,0.05979808599151076,0.0658885792955002,0.0658885792955002,0.10380978851257837,0.1091084134086442,0.07212622459970351,0.06579453492135316,0.11250126353302957,0.09408819288523802,0.06579453492135316,0.06579453492135316,0.08713110412877678,0.0658885792955002,0.10948800149939016,0.06579453492135316,0.0005368413197912479,0.06579453492135316,0.0658885792955002,0.06579453492135316,0.09850582297845832,0.06579453492135316,0.0658885792955002,0.06579453492135316,0.11209898391545137,0.25328036136233023,0.10658035957143
