,k,time,ari,nmi,ss,vrc,dbs,dataset,method,count_type,dimensions,loss_criteria
3,6,0.06735920906066895,0.919432060950886,0.878724426216596,0.4347172,1252.839613318838,1.1700394423365341,TabulaMuris_Mammary_10X,vasc,counts,8,nmi
9,12,0.020955324172973636,0.6562539340534697,0.7671419182158512,0.66337216,10639.849616086425,0.4759481603326957,TabulaMuris_Mammary_10X,vasc,counts,2,ss
41,44,0.07431459426879883,0.2698799650618394,0.6046878234769226,0.46144834,16092.410625477562,0.7279485161186209,TabulaMuris_Mammary_10X,vasc,counts,2,vrc
9,12,0.020955324172973636,0.6562539340534697,0.7671419182158512,0.66337216,10639.849616086425,0.4759481603326957,TabulaMuris_Mammary_10X,vasc,counts,2,dbs
3,6,0.05155420303344727,0.8882536654547821,0.8562842561397241,0.60876065,3707.1441117123354,0.6591255516195184,TabulaMuris_Mammary_10X,icm,logcounts,8,ari
3,6,0.05155420303344727,0.8882536654547821,0.8562842561397241,0.60876065,3707.1441117123354,0.6591255516195184,TabulaMuris_Mammary_10X,icm,logcounts,8,nmi
0,3,0.5318341255187988,-0.004760169690489724,0.0016249432770768402,0.8570008,22988.98163075188,0.3120974185699669,TabulaMuris_Mammary_10X,icm,counts,2,ss
52,55,0.16940903663635254,-0.0002812237878917398,0.1092581743674988,0.8096076999999999,98801.66428576852,0.5966966453822752,TabulaMuris_Mammary_10X,icm,counts,2,vrc
0,3,0.5318341255187988,-0.004760169690489724,0.0016249432770768402,0.8570008,22988.98163075188,0.3120974185699669,TabulaMuris_Mammary_10X,icm,counts,2,dbs
4,7,0.07845759391784668,0.8560128066360347,0.8143889935808971,0.26061743,1214.0486505329166,1.4956613362411608,TabulaMuris_Mammary_10X,pca,logcounts,48,ari
5,8,0.12016916275024415,0.8534117530665237,0.8161855987576822,0.20121928,852.3711486053879,1.7185646903557366,TabulaMuris_Mammary_10X,pca,logcounts,96,nmi
0,3,0.5524961948394775,0.479025245826795,0.5284246366909212,0.66436815,10347.136266001764,0.5998489729252426,TabulaMuris_Mammary_10X,pca,logcounts,2,ss
0,3,0.5524961948394775,0.479025245826795,0.5284246366909212,0.66436815,10347.136266001764,0.5998489729252426,TabulaMuris_Mammary_10X,pca,logcounts,2,vrc
0,3,0.5524961948394775,0.479025245826795,0.5284246366909212,0.66436815,10347.136266001764,0.5998489729252426,TabulaMuris_Mammary_10X,pca,logcounts,2,dbs
7,10,0.07565450668334961,0.9312152934644276,0.9034315171444772,0.25793862,481.59795213907626,1.3518034276609228,TabulaMuris_Mammary_10X,fica,logcounts,16,ari
7,10,0.07565450668334961,0.9312152934644276,0.9034315171444772,0.25793862,481.59795213907626,1.3518034276609228,TabulaMuris_Mammary_10X,fica,logcounts,16,nmi
0,3,0.4763772487640381,0.4724444124475545,0.5338308932511545,0.6765406,9340.294767479414,0.5395357475304962,TabulaMuris_Mammary_10X,fica,logcounts,2,ss
0,3,0.4763772487640381,0.4724444124475545,0.5338308932511545,0.6765406,9340.294767479414,0.5395357475304962,TabulaMuris_Mammary_10X,fica,logcounts,2,vrc
0,3,0.4763772487640381,0.4724444124475545,0.5338308932511545,0.6765406,9340.294767479414,0.5395357475304962,TabulaMuris_Mammary_10X,fica,logcounts,2,dbs
5,8,0.1394505500793457,0.679953193012592,0.6786260135832702,0.20272471,627.910569662047,1.5179301164657528,TabulaMuris_Mammary_10X,grp,counts,96,ari
8,11,0.13616156578063965,0.6527625502064056,0.6835744138202149,0.17974226,517.8735033976908,1.7579450339501066,TabulaMuris_Mammary_10X,grp,counts,96,nmi
1,4,0.19702887535095212,0.3232273121392417,0.31079181351513885,0.3801239,2710.792722502788,0.8342029241186055,TabulaMuris_Mammary_10X,grp,counts,2,ss
2,5,0.033355712890625,0.06507323331101894,0.08500417516378612,0.32395652,2871.8849507245727,0.9034624731683571,TabulaMuris_Mammary_10X,grp,logcounts,2,vrc
29,32,0.0858910083770752,0.09300535866658108,0.2674944252389663,0.32323343,2275.5837805384053,0.7481896697969794,TabulaMuris_Mammary_10X,grp,counts,2,dbs
3,6,0.08928656578063965,0.8623358839414923,0.8204384078990249,0.25370935,1251.2805301391436,1.6304597670290473,TabulaMuris_Mammary_10X,ipca,logcounts,48,ari
5,8,0.11411595344543456,0.8622871114063796,0.8300856115171763,0.29614463,1318.1153229872152,1.33383765208217,TabulaMuris_Mammary_10X,ipca,logcounts,32,nmi
0,3,0.5559883117675781,0.4789555139227432,0.5282019549281665,0.6644209,10347.143764569471,0.5995947022647773,TabulaMuris_Mammary_10X,ipca,logcounts,2,ss
0,3,0.5559883117675781,0.4789555139227432,0.5282019549281665,0.6644209,10347.143764569471,0.5995947022647773,TabulaMuris_Mammary_10X,ipca,logcounts,2,vrc
0,3,0.5559883117675781,0.4789555139227432,0.5282019549281665,0.6644209,10347.143764569471,0.5995947022647773,TabulaMuris_Mammary_10X,ipca,logcounts,2,dbs
4,7,0.09912490844726562,0.9069430797045259,0.8823203535066447,0.67673784,13908.593791976009,0.6115641414273127,TabulaMuris_Mammary_10X,phate,logcounts,32,ari
4,7,0.026195764541625977,0.9064257116221878,0.8839683849977806,0.73137057,22288.1982450221,0.4696617455980216,TabulaMuris_Mammary_10X,phate,logcounts,4,nmi
4,7,0.026195764541625977,0.9064257116221878,0.8839683849977806,0.73137057,22288.1982450221,0.4696617455980216,TabulaMuris_Mammary_10X,phate,logcounts,4,ss
51,54,0.13169288635253906,0.2777102908503719,0.6303928345392759,0.4929263,42047.50362817267,0.707842772356672,TabulaMuris_Mammary_10X,phate,logcounts,4,vrc
3,6,0.0538334846496582,0.8688572793773631,0.8191324600838459,0.7069430999999999,13132.718816012493,0.3940161115262099,TabulaMuris_Mammary_10X,phate,counts,2,dbs
4,7,0.07255315780639647,0.9206810682358936,0.8811236840337503,0.64712226,4225.536183276685,0.7085540047591525,TabulaMuris_Mammary_10X,vpac,counts,16,ari
4,7,0.0959017276763916,0.9130407730939724,0.8861075791136229,0.45256954,2163.995925568197,1.0962098263006956,TabulaMuris_Mammary_10X,vpac,counts,48,nmi
0,3,0.5741329193115234,0.36373797125471996,0.4539799755709996,0.9998679,38996838254.93543,0.00028192554936519297,TabulaMuris_Mammary_10X,vpac,logcounts,4,ss
13,16,0.025835037231445312,0.4686493970221041,0.5207992449868958,0.5777125,50075900499.993286,0.7366678110139104,TabulaMuris_Mammary_10X,vpac,logcounts,4,vrc
0,3,0.5741329193115234,0.36373797125471996,0.4539799755709996,0.9998679,38996838254.93543,0.00028192554936519297,TabulaMuris_Mammary_10X,vpac,logcounts,4,dbs
4,7,0.07565617561340332,0.9027500840827408,0.8730755919272275,0.6553861999999999,8418.488946283562,0.4695690618617277,TabulaMuris_Mammary_10X,mctsne,logcounts,4,ari
4,7,0.07565617561340332,0.9027500840827408,0.8730755919272275,0.6553861999999999,8418.488946283562,0.4695690618617277,TabulaMuris_Mammary_10X,mctsne,logcounts,4,nmi
13,16,0.1599576473236084,0.0009629150288197367,0.007666882873496509,0.9966520000000001,42520373478.25924,2.5489563864695227e-07,TabulaMuris_Mammary_10X,mctsne,logcounts,96,ss
52,55,0.2758030891418457,0.3074203401908844,0.5627281300972247,0.4193559,299300261581962.06,0.504949905567208,TabulaMuris_Mammary_10X,mctsne,logcounts,96,vrc
13,16,0.1599576473236084,0.0009629150288197367,0.007666882873496509,0.9966520000000001,42520373478.25924,2.5489563864695227e-07,TabulaMuris_Mammary_10X,mctsne,logcounts,96,dbs
17,20,0.0843648910522461,0.00786890033500198,0.007837425901311099,0.9883434999999999,3564889.1027569463,0.20110457001756404,TabulaMuris_Mammary_10X,saucie,counts,48,ari
52,55,0.3911929130554199,0.0012849697612135895,0.014961966238217132,0.20016073,371.8327194140097,1.401567134933972,TabulaMuris_Mammary_10X,saucie,logcounts,96,nmi
7,10,0.05282926559448242,0.00018507695035365493,0.003039027168943925,0.9983573,25558302.07352165,0.2463888298784455,TabulaMuris_Mammary_10X,saucie,counts,8,ss
14,17,0.023678302764892575,0.00018393691525319894,0.0046032133574650655,0.99776834,61591056304.338715,0.00012693277176585802,TabulaMuris_Mammary_10X,saucie,counts,8,vrc
43,46,0.20609068870544436,0.00781770158827817,0.012779657856895698,0.99665254,53340404816.851036,8.66091619085544e-05,TabulaMuris_Mammary_10X,saucie,counts,48,dbs
31,34,0.11235451698303224,0.794822403553098,0.7203596048520144,0.68060327,3065.705851336877,0.6313590843690634,TabulaMuris_Mammary_10X,lle,logcounts,16,ari
5,8,0.06525874137878418,0.7360056679132131,0.7631303624201505,0.5083092,2145.0923274596757,0.6876440713375199,TabulaMuris_Mammary_10X,lle,counts,8,nmi
51,54,0.060414314270019524,0.2710248557059309,0.4092545429300444,0.94394124,1818234.5222077498,0.4237743030400693,TabulaMuris_Mammary_10X,lle,logcounts,2,ss
52,55,0.0687553882598877,0.03236231944226933,0.2268949420762588,0.523502,124006109.53341776,0.5576335124105346,TabulaMuris_Mammary_10X,lle,counts,2,vrc
1,4,0.24881601333618164,0.2677420114006102,0.4998069752018788,0.9203591,64426.34642757492,0.1332664934410946,TabulaMuris_Mammary_10X,lle,counts,4,dbs
5,8,0.13093900680541992,0.7220647982250015,0.7034436478461142,0.21185218,639.8174953985098,1.9446932438566258,TabulaMuris_Mammary_10X,srp,counts,96,ari
5,8,0.13093900680541992,0.7220647982250015,0.7034436478461142,0.21185218,639.8174953985098,1.9446932438566258,TabulaMuris_Mammary_10X,srp,counts,96,nmi
0,3,0.5557963848114014,0.2085288215301119,0.2594236207561931,0.40874705,5746.980160742898,0.8242721277480914,TabulaMuris_Mammary_10X,srp,counts,2,ss
0,3,0.5557963848114014,0.2085288215301119,0.2594236207561931,0.40874705,5746.980160742898,0.8242721277480914,TabulaMuris_Mammary_10X,srp,counts,2,vrc
4,7,0.07325387001037598,0.27944392028035714,0.3148816327786313,0.32446605,3277.1479353033283,0.7693968049187442,TabulaMuris_Mammary_10X,srp,counts,4,dbs
3,6,0.07398605346679688,0.8902448704788041,0.8631355407861496,0.41579422,2018.9713933735845,0.988380271590371,TabulaMuris_Mammary_10X,lsnmf,logcounts,16,ari
3,6,0.07398605346679688,0.8902448704788041,0.8631355407861496,0.41579422,2018.9713933735845,0.988380271590371,TabulaMuris_Mammary_10X,lsnmf,logcounts,16,nmi
0,3,0.5349800586700441,0.4519106947612279,0.4600231375140875,0.6895196,28540.43455834937,0.56087079280355,TabulaMuris_Mammary_10X,lsnmf,logcounts,2,ss
4,7,0.02781820297241211,0.4538332492345372,0.4447088184723533,0.5057832,31249.77949145782,0.7225663826574379,TabulaMuris_Mammary_10X,lsnmf,logcounts,2,vrc
0,3,0.5349800586700441,0.4519106947612279,0.4600231375140875,0.6895196,28540.43455834937,0.56087079280355,TabulaMuris_Mammary_10X,lsnmf,logcounts,2,dbs
6,9,0.08057832717895508,0.7941633964688672,0.835751363512104,0.7432373999999999,11227.726285219509,0.5531271679399345,TabulaMuris_Mammary_10X,lda,logcounts,8,ari
6,9,0.08057832717895508,0.7941633964688672,0.835751363512104,0.7432373999999999,11227.726285219509,0.5531271679399345,TabulaMuris_Mammary_10X,lda,logcounts,8,nmi
0,3,0.4720444679260254,0.4661412349994138,0.5583040823995741,0.8793165999999999,157604.02004751188,0.30880996835751456,TabulaMuris_Mammary_10X,lda,logcounts,2,ss
52,55,0.0702962875366211,0.15352223617006489,0.3526382689132732,0.58609194,1907072.001793209,0.4764875262376127,TabulaMuris_Mammary_10X,lda,logcounts,2,vrc
0,3,0.4720444679260254,0.4661412349994138,0.5583040823995741,0.8793165999999999,157604.02004751188,0.30880996835751456,TabulaMuris_Mammary_10X,lda,logcounts,2,dbs
3,6,0.07389402389526367,0.8837440703392554,0.8539283076562811,0.35510728,1040.8265313474053,1.196845581561404,TabulaMuris_Mammary_10X,zifa,counts,32,ari
3,6,0.07389402389526367,0.8837440703392554,0.8539283076562811,0.35510728,1040.8265313474053,1.196845581561404,TabulaMuris_Mammary_10X,zifa,counts,32,nmi
0,3,0.5727264881134033,0.4948428176402791,0.5975395184720379,0.7080017,12183.649170715647,0.45798095801791994,TabulaMuris_Mammary_10X,zifa,counts,2,ss
3,6,0.038105249404907234,0.539321379968291,0.6178803927592419,0.5264234999999999,12943.308374110908,0.7200679505023492,TabulaMuris_Mammary_10X,zifa,counts,2,vrc
0,3,0.5727264881134033,0.4948428176402791,0.5975395184720379,0.7080017,12183.649170715647,0.45798095801791994,TabulaMuris_Mammary_10X,zifa,counts,2,dbs
4,7,0.12963414192199707,0.8940491898736527,0.8475680747418615,0.17051263,444.56692276585716,1.8528275776473515,TabulaMuris_Mammary_10X,spca-batch,logcounts,96,ari
4,7,0.12963414192199707,0.8940491898736527,0.8475680747418615,0.17051263,444.56692276585716,1.8528275776473515,TabulaMuris_Mammary_10X,spca-batch,logcounts,96,nmi
0,3,0.6515452861785889,0.4747938951205167,0.5345316306241014,0.68603146,10583.476971434264,0.5569517624975765,TabulaMuris_Mammary_10X,spca-batch,logcounts,2,ss
0,3,0.6515452861785889,0.4747938951205167,0.5345316306241014,0.68603146,10583.476971434264,0.5569517624975765,TabulaMuris_Mammary_10X,spca-batch,logcounts,2,vrc
0,3,0.6515452861785889,0.4747938951205167,0.5345316306241014,0.68603146,10583.476971434264,0.5569517624975765,TabulaMuris_Mammary_10X,spca-batch,logcounts,2,dbs
4,7,0.08358430862426758,0.7431577916581831,0.7842871149423116,0.32673016,1409.9543555723983,1.2569130993329094,TabulaMuris_Mammary_10X,kpca-rbf,logcounts,16,ari
4,7,0.08358430862426758,0.7431577916581831,0.7842871149423116,0.32673016,1409.9543555723983,1.2569130993329094,TabulaMuris_Mammary_10X,kpca-rbf,logcounts,16,nmi
0,3,0.6205084323883057,-0.00012138108155457492,0.0007123734955223785,0.9154602,215.52442198957093,0.04673725485110663,TabulaMuris_Mammary_10X,kpca-rbf,counts,16,ss
1,4,0.2085890769958496,0.4246948183817091,0.4921473802032896,0.52368826,11391.978137466765,0.6533161759164721,TabulaMuris_Mammary_10X,kpca-rbf,logcounts,2,vrc
0,3,0.6205084323883057,-0.00012138108155457492,0.0007123734955223785,0.9154602,215.52442198957093,0.04673725485110663,TabulaMuris_Mammary_10X,kpca-rbf,counts,16,dbs
8,11,0.14336395263671875,0.824074758301057,0.7720025671814605,0.26578152,933.4076941894564,1.4594079401907885,TabulaMuris_Mammary_10X,kpca-pol,logcounts,48,ari
8,11,0.14336395263671875,0.824074758301057,0.7720025671814605,0.26578152,933.4076941894564,1.4594079401907885,TabulaMuris_Mammary_10X,kpca-pol,logcounts,48,nmi
0,3,0.5620503425598145,0.002206049897977259,0.006857228322477685,0.9706322000000001,880731.6429609719,0.2253356124562748,TabulaMuris_Mammary_10X,kpca-pol,counts,2,ss
52,55,0.1323869228363037,0.04056271984804447,0.12408900516509412,0.5083605,40675542.22609189,0.35747073407450897,TabulaMuris_Mammary_10X,kpca-pol,counts,2,vrc
1,4,0.2364068031311035,0.002570391155871245,0.008508197717663783,0.9649392,927114.7503511236,0.19637412686806924,TabulaMuris_Mammary_10X,kpca-pol,counts,2,dbs
4,7,0.043276309967041016,0.8951472251356292,0.8636396998777535,0.786003,61139.62372379253,0.28023724258843585,TabulaMuris_Mammary_10X,umap,logcounts,16,ari
4,7,0.06851863861083984,0.8942045930878892,0.8641283704593955,0.7857874,60512.59939706066,0.28272786961609137,TabulaMuris_Mammary_10X,umap,logcounts,48,nmi
3,6,0.05620408058166504,0.8825122336038028,0.8498333070169343,0.82079804,42198.88333875067,0.24577282327787886,TabulaMuris_Mammary_10X,umap,counts,32,ss
48,51,0.05097246170043945,0.1350026321007111,0.5584955069425392,0.42604905,121973.81601889481,0.7228591331485957,TabulaMuris_Mammary_10X,umap,logcounts,2,vrc
3,6,0.01117706298828125,0.8831761362020665,0.8518348610775921,0.8163888000000001,38676.76251006518,0.2331581003006379,TabulaMuris_Mammary_10X,umap,counts,2,dbs
5,8,0.061837434768676765,0.7350708083585316,0.7458577101120994,0.483522,1845.9564669645215,0.7704612392709002,TabulaMuris_Mammary_10X,spectral,logcounts,8,ari
4,7,0.07494020462036133,0.7316392048750296,0.7658690624964939,0.44482246,1416.5644958407568,0.8492124684457316,TabulaMuris_Mammary_10X,spectral,logcounts,8,nmi
0,3,0.40400099754333496,0.3544341905615205,0.4937697774561812,0.8367355,26196.049779102108,0.2489631739353852,TabulaMuris_Mammary_10X,spectral,logcounts,2,ss
52,55,0.07158923149108888,0.29528193930394503,0.4825531714855785,0.41333434,61247.610418401615,0.7099637691838143,TabulaMuris_Mammary_10X,spectral,logcounts,2,vrc
0,3,0.40400099754333496,0.3544341905615205,0.4937697774561812,0.8367355,26196.049779102108,0.2489631739353852,TabulaMuris_Mammary_10X,spectral,logcounts,2,dbs
5,8,0.09847068786621094,0.8381201711207393,0.8044596052949818,0.18774486,746.4237230893511,1.8145622649112312,TabulaMuris_Mammary_10X,nmf2,logcounts,96,ari
5,8,0.09847068786621094,0.8381201711207393,0.8044596052949818,0.18774486,746.4237230893511,1.8145622649112312,TabulaMuris_Mammary_10X,nmf2,logcounts,96,nmi
0,3,0.4673924446105957,0.4534915283241802,0.4530212786887087,0.6647352,21809.406221421785,0.5982704070641764,TabulaMuris_Mammary_10X,nmf2,logcounts,2,ss
4,7,0.06537342071533203,0.42710313736809263,0.42693177722234266,0.49095140000000004,21819.805156829298,0.7188210977623171,TabulaMuris_Mammary_10X,nmf2,logcounts,2,vrc
0,3,0.4673924446105957,0.4534915283241802,0.4530212786887087,0.6647352,21809.406221421785,0.5982704070641764,TabulaMuris_Mammary_10X,nmf2,logcounts,2,dbs
5,8,0.11378765106201172,0.9028503086448928,0.8714556820851003,0.20889913,573.8910332867923,1.7581096853355185,TabulaMuris_Mammary_10X,spca,logcounts,48,ari
3,6,0.088226318359375,0.9019132222133004,0.8799196152266692,0.19954996,624.6493015390316,1.7783910939441063,TabulaMuris_Mammary_10X,spca,logcounts,48,nmi
0,3,0.7100181579589844,0.4773792190419797,0.53376928606642,0.6733972,9699.592635054312,0.5531622801504462,TabulaMuris_Mammary_10X,spca,logcounts,2,ss
0,3,0.7100181579589844,0.4773792190419797,0.53376928606642,0.6733972,9699.592635054312,0.5531622801504462,TabulaMuris_Mammary_10X,spca,logcounts,2,vrc
0,3,0.7100181579589844,0.4773792190419797,0.53376928606642,0.6733972,9699.592635054312,0.5531622801504462,TabulaMuris_Mammary_10X,spca,logcounts,2,dbs
1,4,0.21203207969665527,0.7705541928488009,0.7226170596982779,0.40961549999999997,1205.0769369563745,1.0053206878277856,segerstolpe,ivis,counts,4,ari
4,7,0.08407306671142578,0.6442761068144599,0.7815969472194371,0.43471456,905.8867261552203,0.8932582875529406,segerstolpe,ivis,counts,96,nmi
1,4,0.2605879306793213,0.3762085103143611,0.528935803054259,0.83539015,18307.53359861354,0.3162293395751393,segerstolpe,ivis,logcounts,8,ss
12,15,0.060047149658203125,0.28766621367211725,0.4798256402755385,0.739614,27463.82246107649,0.6907011596797291,segerstolpe,ivis,logcounts,8,vrc
1,4,0.2605879306793213,0.3762085103143611,0.528935803054259,0.83539015,18307.53359861354,0.3162293395751393,segerstolpe,ivis,logcounts,8,dbs
3,6,0.06353473663330078,0.8577395536818821,0.8205886571932016,0.58903587,1384.9223585202685,0.8008402627222523,segerstolpe,kpca-cos,counts,16,ari
3,6,0.06353473663330078,0.8577395536818821,0.8205886571932016,0.58903587,1384.9223585202685,0.8008402627222523,segerstolpe,kpca-cos,counts,16,nmi
0,3,0.5548770427703857,0.3907907199985976,0.4794666886646464,0.8331787,16123.278257795228,0.3668672558336314,segerstolpe,kpca-cos,counts,2,ss
51,54,0.06189393997192383,0.13432250871280685,0.4539888435524756,0.36715162,27529.956537763643,0.7489919325859035,segerstolpe,kpca-cos,counts,2,vrc
0,3,0.5548770427703857,0.3907907199985976,0.4794666886646464,0.8331787,16123.278257795228,0.3668672558336314,segerstolpe,kpca-cos,counts,2,dbs
3,6,0.05928826332092285,0.5694791434030378,0.5968892691817086,0.23486836,1240.1445248187454,1.0985096857871959,segerstolpe,bd,counts,32,ari
10,13,0.05965375900268555,0.4950692158850076,0.6345832229961393,0.31734520000000005,1354.0176911251792,0.806637714155096,segerstolpe,bd,counts,32,nmi
0,3,0.5559635162353516,0.3143912321037766,0.447911908467123,0.81813556,30249.103117543556,0.4028961430801032,segerstolpe,bd,logcounts,4,ss
51,54,0.08100557327270508,0.10934822692183972,0.27740782237975714,0.6053441999999999,388361.24388858076,0.4706016313784915,segerstolpe,bd,logcounts,4,vrc
0,3,0.5559635162353516,0.3143912321037766,0.447911908467123,0.81813556,30249.103117543556,0.4028961430801032,segerstolpe,bd,logcounts,4,dbs
6,9,0.05028271675109863,0.5917892036578045,0.7248736606927063,0.41727984,1075.1293703682354,0.8895706472731928,segerstolpe,isomap,counts,32,ari
7,10,0.1143193244934082,0.5889611757980526,0.7331685200125634,0.48374849999999997,1388.170795837908,0.6867533054166554,segerstolpe,isomap,counts,16,nmi
36,39,0.06954002380371094,0.1327444151784323,0.3702507165262002,0.74930054,16684.145100590937,0.4815106702174471,segerstolpe,isomap,logcounts,2,ss
51,54,0.040248632431030266,0.10870096956874703,0.3731808596394847,0.6336695,19114.82444106612,0.5199873324192941,segerstolpe,isomap,logcounts,2,vrc
37,40,0.07477211952209473,0.12377949374798428,0.36930179465900026,0.69099015,16687.64450531978,0.462077873184027,segerstolpe,isomap,logcounts,2,dbs
7,10,0.023771286010742188,0.5831535966314909,0.694924647555324,0.37341696,1685.3797775399564,0.9443144849705624,segerstolpe,nmf,logcounts,8,ari
7,10,0.06746935844421388,0.5523437838789763,0.7060198362971752,0.36218157,792.2990175319147,0.9329831186237192,segerstolpe,nmf,counts,32,nmi
1,4,0.22443652153015134,0.13599182661429718,0.3910006760869789,0.75790507,8989.313679337327,0.41884070333146617,segerstolpe,nmf,counts,2,ss
52,55,0.058049440383911126,0.1236934899772062,0.4218828779935777,0.42993873,50153.577241474464,0.5998005606540824,segerstolpe,nmf,counts,2,vrc
1,4,0.22443652153015134,0.13599182661429718,0.3910006760869789,0.75790507,8989.313679337327,0.41884070333146617,segerstolpe,nmf,counts,2,dbs
1,4,0.1910643577575684,0.7145326587343729,0.6883513175717597,0.40635884,1497.1784204927735,0.9690580574841178,segerstolpe,snmf,logcounts,8,ari
2,5,0.03899145126342773,0.6651314328300778,0.6979350725632694,0.34784484,958.3615821652523,1.0013897985073918,segerstolpe,snmf,counts,16,nmi
1,4,0.18188881874084475,0.13599182661429718,0.3910006760869789,0.75758946,8968.919936903862,0.4187948744780916,segerstolpe,snmf,counts,2,ss
52,55,0.052745580673217766,0.1258574339108131,0.4269971646383473,0.44362229999999997,50314.03645997332,0.5803123634577891,segerstolpe,snmf,counts,2,vrc
1,4,0.18188881874084475,0.13599182661429718,0.3910006760869789,0.75758946,8968.919936903862,0.4187948744780916,segerstolpe,snmf,counts,2,dbs
4,7,0.05332756042480469,0.9068275153558356,0.8602017081776232,0.6573081999999999,2138.301153079831,0.5469418512267349,segerstolpe,nsnmf,counts,16,ari
4,7,0.07257485389709473,0.8945328705917777,0.8659516295811753,0.49327079999999995,963.4344876282654,0.7445293793161499,segerstolpe,nsnmf,counts,32,nmi
0,3,0.380192756652832,0.37916071823627695,0.460350527266113,0.8413870000000001,18467.35440988425,0.3812372695654127,segerstolpe,nsnmf,counts,2,ss
51,54,0.04389142990112305,0.4149440968239709,0.4247284315529988,0.80477774,422059.91157095757,0.4746037745479153,segerstolpe,nsnmf,counts,2,vrc
1,4,0.21501684188842773,0.5395148825511842,0.6029377467750489,0.83321786,10950.92450033639,0.2947201228472639,segerstolpe,nsnmf,counts,4,dbs
7,10,0.10140705108642578,0.4765458056529012,0.6400824752133664,0.24315820000000005,566.049424184262,1.4116467359998348,segerstolpe,tsvd,logcounts,32,ari
10,13,0.10074639320373537,0.4382103982337285,0.666216133307553,0.38860282,1418.5551092432886,0.7761331546081512,segerstolpe,tsvd,counts,32,nmi
1,4,0.2531692981719971,0.1342403531422526,0.3893401637114565,0.75480026,8806.808852026801,0.4195265730020676,segerstolpe,tsvd,counts,2,ss
52,55,0.0567169189453125,0.12268807179268235,0.4241679171452296,0.42422340000000003,42184.48798499272,0.6306356824485561,segerstolpe,tsvd,counts,2,vrc
1,4,0.2531692981719971,0.1342403531422526,0.3893401637114565,0.75480026,8806.808852026801,0.4195265730020676,segerstolpe,tsvd,counts,2,dbs
6,9,0.08232879638671875,0.912854990190314,0.8922823141753576,0.30391538,324.72476858859915,1.1473926992708088,segerstolpe,pmf,counts,96,ari
5,8,0.0856630802154541,0.9104910075672544,0.8936912861919281,0.29127154,321.3724044295405,1.2290614885043305,segerstolpe,pmf,counts,96,nmi
1,4,0.2467048168182373,0.6779625722463993,0.6885850327555748,0.8265200999999999,11196.017984385498,0.3404295579128886,segerstolpe,pmf,counts,4,ss
52,55,0.05848383903503417,0.12635452429401586,0.341133169690075,0.5449351,213839.26678663128,0.4942021775575717,segerstolpe,pmf,counts,2,vrc
0,3,0.4797894954681397,0.668303947973116,0.6772091705979101,0.81368715,10728.710868788543,0.2666176316907493,segerstolpe,pmf,counts,4,dbs
9,12,0.07954144477844237,0.8843475822611943,0.8502472428915232,0.32043374,373.75446616048464,0.8393296614168658,segerstolpe,fa,counts,48,ari
8,11,0.1084609031677246,0.8479382051444739,0.8701228939775221,0.15587161,138.07785558221204,1.2353902664077552,segerstolpe,fa,logcounts,48,nmi
1,4,0.2363145351409912,0.0013780237730523675,0.007148433397615762,0.8984014000000001,98.44418279139074,0.06826273183698596,segerstolpe,fa,counts,96,ss
4,7,0.04465460777282715,0.25595613310885235,0.4166455093554233,0.47313058,9400.93390696652,0.6814274054576986,segerstolpe,fa,logcounts,2,vrc
1,4,0.2363145351409912,0.0013780237730523675,0.007148433397615762,0.8984014000000001,98.44418279139074,0.06826273183698596,segerstolpe,fa,counts,96,dbs
4,7,0.041829824447631836,0.6067455870169871,0.6737860781375824,0.41218823,834.9931064440545,1.0194598458625943,segerstolpe,vasc,counts,16,ari
10,13,0.0915353298187256,0.5185841173782221,0.7229255395728315,0.46938697,1040.6282755830684,0.8756381674458875,segerstolpe,vasc,counts,48,nmi
7,10,0.031130552291870117,0.4158832876487987,0.5896734066516791,0.5404667,3879.909118352829,0.5952808890947356,segerstolpe,vasc,counts,2,ss
50,53,0.05920600891113281,0.14006866628584516,0.5132338865223975,0.37838283,5028.032980508432,0.7918514355259393,segerstolpe,vasc,counts,2,vrc
7,10,0.031130552291870117,0.4158832876487987,0.5896734066516791,0.5404667,3879.909118352829,0.5952808890947356,segerstolpe,vasc,counts,2,dbs
3,6,0.07279586791992188,0.8009257156769983,0.8429232152249561,0.27864167,362.02533545938405,1.3691821743081727,segerstolpe,icm,logcounts,32,ari
3,6,0.07279586791992188,0.8009257156769983,0.8429232152249561,0.27864167,362.02533545938405,1.3691821743081727,segerstolpe,icm,logcounts,32,nmi
1,4,0.20126605033874512,-0.047810539097904815,0.07068384837473314,0.90321267,7554.667344668484,0.4448010630913174,segerstolpe,icm,counts,2,ss
52,55,0.0748286247253418,0.009323148813643855,0.1928069880703828,0.84233296,91446.87541876789,0.4248527333836663,segerstolpe,icm,counts,2,vrc
0,3,0.5912094116210938,-0.08123405263673678,0.12031808194074448,0.8719646999999999,5166.715067023294,0.3822584318567627,segerstolpe,icm,counts,4,dbs
8,11,0.052957773208618164,0.4900807511878743,0.6478915012980946,0.33708176,1015.5804013990919,1.0882293120403872,segerstolpe,pca,logcounts,8,ari
15,18,0.1171422004699707,0.3729904884498708,0.6782843689936696,0.16241618,262.46527797342304,1.9140410569222441,segerstolpe,pca,logcounts,96,nmi
1,4,0.20993304252624512,0.1446530649735488,0.3981406003934194,0.7155665,7116.571486330333,0.4435283818754874,segerstolpe,pca,counts,2,ss
