"","bd","fa","fica","grp","icm","ipca","isomap","ivis","kpca.cos","kpca.pol","kpca.rbf","lda","lle","lsnmf","mctsne","nmf","nmf2","nsnmf","pca","phate","pmf","psmf","saucie","snmf","spca","spca.batch","spectral","srp","tsvd","umap","vasc","vpac"
"lda",0.000198420695616717,0.0270475084387128,0.000818792797475309,5.98492810475299e-19,0.13916270107885,4.23615798063282e-05,4.15770736807287e-11,0.0243770474063806,0.0318020368421721,1.00167331372261e-10,6.33478993732641e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lle",0.0874366325484676,0.00127804259792399,0.0364533769428621,6.99960541300088e-05,7.87797877691237e-05,0.183245470996855,0.227877464485745,0.00143517558507495,0.00101654465059,0.293648266549935,0.662448478613798,5.23002661802902e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lsnmf",0.427805401220439,0.0219419767469191,0.243869830165083,1.08554536826144e-06,0.00250247203712003,0.662448478613798,0.0333459144221729,0.0243770474063806,0.0184517138762931,0.0478763803652908,0.688652648220141,5.18701716671692e-06,0.393870498158777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mctsne",0.0693241209505507,0.000864502400638771,0.0281763976831738,0.000108674972083666,5.05048895016672e-05,0.150753752500532,0.273052407504439,0.00100195072317555,0.000688142440595464,0.343713650113923,0.589616107879022,3.04288414555348e-08,0.925657052779121,0.338087338253191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nmf",0.00488897118360592,0.195554037257666,0.015053625961446,2.93502271578356e-16,0.55674862289255,0.00143517558507495,8.06580216580671e-09,0.18276061155726,0.217191037526058,1.72754143792388e-08,4.00463367013484e-05,0.4010866487709,4.92508020947832e-06,0.0002406582837724,2.97787559360535e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nmf2",0.00474115086381499,1.57073888977777e-05,0.00136744519137305,0.00402775303729956,5.52755914309745e-07,0.014488920392763,0.882954856591118,1.85677977540527e-05,1.1921061322346e-05,0.981572508284708,0.131882104124321,1.1223580466424e-10,0.30410977854785,0.0502328446115336,0.354380102766551,1.89754244999071e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nsnmf",0.344873173691593,0.0142257654247418,0.186855810131176,2.40075882803327e-06,0.00143517558507495,0.557340875228721,0.0484842018737523,0.0156264209376509,0.0118156122518954,0.0687067797571223,0.797563468127567,2.48742312914709e-06,0.481552769274154,0.894981659201021,0.418820319843756,0.000131684240245163,0.0717332557204758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pca",0.981572508284708,0.159206751278404,0.74619527653249,1.26882234713099e-08,0.0326164395133163,0.720385670989848,0.00257315967351834,0.170767757022509,0.141638991172917,0.00415039704507163,0.212511750332092,0.000213787797972154,0.0834602990011505,0.416352207789389,0.0660436162217785,0.0052168770798523,0.00441962455155306,0.33636655106686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phate",0.104108984355628,0.861096609398758,0.212178693301074,6.13785444235417e-13,0.629046859209705,0.0446550399705174,2.97787559360535e-06,0.835293767550128,0.908760729061801,5.88561119776785e-06,0.00332247742591116,0.0442258817329556,0.00062178588186107,0.0125841478515422,0.000416603782077687,0.273052407504439,6.49040895647574e-06,0.00774685483051675,0.10886338672527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pmf",0.957430549793631,0.137015570923576,0.688652648220141,1.88226644772688e-08,0.0264733616408846,0.778167424505611,0.00337855410143479,0.147345919173432,0.121727749897252,0.00534814637501166,0.243869830165083,0.000155715671566598,0.100419871922033,0.464677488846877,0.0792338594180824,0.00406604831455412,0.00561149374206597,0.377803400266276,0.942458940826327,0.0907325820004338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"psmf",0.377803400266276,0.614679641454008,0.598253633123126,6.1115175314281e-11,0.227877464485745,0.210248368900802,7.87797877691237e-05,0.64108295989766,0.574407710837833,0.00014799198452335,0.0291346854681405,0.00549937789860267,0.00739566393059342,0.0817839931053013,0.00536052621896132,0.0646762569082815,0.000160400591819905,0.0579148706013703,0.389636505089156,0.490094656999616,0.3448608083647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"saucie",4.61549434891695e-35,3.53976857322636e-39,4.20979160467331e-36,1.20675891769612e-17,5.73073139270021e-41,5.35736685916586e-34,4.74039332622039e-26,4.06860217963566e-39,2.66539616188337e-39,1.67575947507553e-26,2.59111497894668e-31,1.00685553322867e-44,6.94315880932678e-30,1.29857498332761e-32,1.40871513113959e-29,1.73146008282237e-42,1.48898835847644e-26,3.7168826196468e-32,4.26010397271562e-35,1.24837821282422e-39,6.61249581310074e-35,1.1213367752198e-37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snmf",0.0398772453165412,0.569908304103524,0.0951364577107742,4.20367528667489e-14,0.925657052779121,0.0149424413859217,3.99246729284138e-07,0.54573870124273,0.608820525512294,8.11278027464715e-07,0.000767805139893921,0.113027516707778,0.000124843321545686,0.00356921597329865,7.87797877691237e-05,0.489607619101942,8.98704270965921e-07,0.00211778056399334,0.0420195082067952,0.702080938606909,0.0344638422296874,0.273320335307188,9.30834130478353e-41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spca",0.574407710837833,0.409712889755961,0.840366897263956,4.29120105782121e-10,0.123184480209396,0.360196566790896,0.000304505821983599,0.429070379646119,0.377803400266276,0.000551747019104072,0.0657691098560304,0.00187430904496748,0.0201813609542924,0.163305583719477,0.0149394816713675,0.0284858241513973,0.00059544336605584,0.121727749897252,0.588593846278301,0.30938345997286,0.539501669446967,0.756156229398421,9.49790370214404e-37,0.150776713207842,NA,NA,NA,NA,NA,NA,NA,NA
"spca.batch",0.507027207249751,0.0316282542636101,0.305022430941761,5.80741321946015e-07,0.00389613121069223,0.754772817770296,0.0233710644210142,0.0344638422296874,0.0268969276398598,0.0344638422296874,0.595068314683547,9.25313088371221e-06,0.325596615621349,0.908760729061801,0.27365677868323,0.000412120830901103,0.0362730591414393,0.790712768956128,0.494624848331725,0.0184517138762931,0.54573870124273,0.110186935968543,5.28691392249096e-33,0.00534814637501166,0.209850818722461,NA,NA,NA,NA,NA,NA,NA
"spectral",0.0530988161657361,0.000569624084690666,0.0204239889164036,0.000173758007794423,3.06370679542299e-05,0.120945093488642,0.328618704841625,0.000646386970178252,0.000448344210660801,0.405645344073636,0.516617388218097,1.64983415434564e-08,0.842099718699468,0.28265334265835,0.919829404682068,1.69634468749037e-06,0.416110640084265,0.357760205092972,0.0503063089301526,0.00026155923000446,0.0617356231523132,0.00382430731554035,3.11217427880423e-29,4.85427050452859e-05,0.0106216195168531,0.225279240410819,NA,NA,NA,NA,NA,NA
"srp",8.11278027464715e-07,2.45535976206004e-10,1.20860514106111e-07,0.464677488846877,3.10358984810057e-12,4.92508020947832e-06,0.0575890087702767,3.0484740996168e-10,1.70590200694137e-10,0.0398772453165412,0.0002406582837724,1.35193930587054e-16,0.00143517558507495,4.00463367013484e-05,0.00208761818791867,5.44647787321562e-14,0.0379852344837574,7.8726406559444e-05,7.40911107940325e-07,7.92344514063397e-11,1.08554536826144e-06,6.04367592756433e-09,5.13267546653548e-20,6.03684634399882e-12,3.52893050966131e-08,2.21696608166928e-05,0.00308999808755961,NA,NA,NA,NA,NA
"tsvd",0.440390576909381,0.541693293378446,0.682729428432696,1.18264186551666e-10,0.186855810131176,0.257304342339812,0.000130433976363497,0.564627701667235,0.500897739115692,0.000233661319405315,0.0389808356049027,0.00389613121069223,0.0106216195168531,0.10681479582263,0.00767324875336311,0.0488273544725352,0.000251239552758873,0.0751692065050329,0.453627678156144,0.420640309851886,0.407750147968655,0.919829404682068,2.28662587095756e-37,0.224820190234913,0.842099718699468,0.13916270107885,0.00536669690683039,1.15029134850161e-08,NA,NA,NA,NA
"umap",0.13916270107885,0.00275871525831731,0.0628051244289606,2.63525262237781e-05,0.000198420695616717,0.269559593876675,0.152807061895465,0.00314684806914782,0.00224250483205474,0.202305631767354,0.822550574951525,1.73591034701401e-07,0.842099718699468,0.521771617954215,0.76174600930362,1.31481749424407e-05,0.209850818722461,0.620948701562885,0.134576515774584,0.00140264082590289,0.156025812190471,0.0145323507606479,1.47472569327929e-30,0.000296182794617688,0.0362730591414393,0.440390576909381,0.683833884996941,0.000637592782961341,0.0203181926612785,NA,NA,NA
"vasc",0.702080938606909,0.0645832838741992,0.463091455730149,1.22699217224942e-07,0.00961257769387568,0.96876387712244,0.00989470497634023,0.0697952004377347,0.0559739927688698,0.0152696502444551,0.415976185622885,3.52800530366046e-05,0.198563389516367,0.689033976022577,0.163305583719477,0.00125009725754449,0.016221018774509,0.585315370634503,0.689033976022577,0.0399675374696225,0.747016690163173,0.195349066848027,6.90417347046355e-34,0.0132795139382186,0.338087338253191,0.785947411295913,0.131776337695174,5.86697715725702e-06,0.23823839977712,0.288805799391937,NA,NA
"vpac",0.00705541628591065,0.240512049837911,0.0213856044828633,6.63029636560037e-16,0.635152083828575,0.00222053106210761,1.52050869628818e-08,0.225279240410819,0.268170204222929,3.29606186885847e-08,6.85858825581606e-05,0.33636655106686,8.42199663563649e-06,0.000393727612906166,5.27433629854033e-06,0.918095207301252,3.62097676994093e-08,0.000213787797972154,0.00751488759670858,0.331154191018599,0.00581547327469377,0.0844611456900411,2.57945759088454e-42,0.565933715584828,0.0386148456360156,0.000646386970178252,3.03314271203441e-06,1.20303769349785e-13,0.0651969375601869,2.26098597856285e-05,0.00190664516006795,NA
"zifa",0.96876387712244,0.165591898360309,0.760152018039311,1.14786604669928e-08,0.0344638422296874,0.702080938606909,0.00238589611163509,0.178978698726862,0.148340523459646,0.00389613121069223,0.205410092386695,0.000233661319405315,0.0792338594180824,0.405645344073636,0.0631931564771057,0.00550043667996571,0.00414956007674076,0.326000426282467,0.981572508284708,0.11363256657789,0.925657052779121,0.4010866487709,3.89652058496329e-35,0.0445052126672877,0.602113396283448,0.481986423373999,0.0478763803652908,6.63666631300734e-07,0.465944854166982,0.128744132372139,0.67703154090527,0.00802012483087478
