,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
dbs,TabulaMuris_Liver_10X,0.026583332962203648,0.00873826368518458,0.3167664069861412,0.054325820984127415,0.01141988841090207,0.3494853025361082,0.06515648800011675,0.05003825756028826,0.28775294186826017,0.0021109135269658853,0.009169865227575413,0.1137635184534544,0.0528845030698302,0.2723066446814101,0.01435068948549061,0.4422113484098529,0.06763804113654268,0.12180007797268685,0.35280968248338584,0.2615087012689234,0.058109016597025165,0.01976850530326273,0.013471346052242232,0.3135100085619166,0.01572220665069427,0.03242733039675918,0.0216677960726714,0.4938854354034044,0.07131381763667058,0.30654965910192794,0.1290393981408654,0.10256738059289056
dbs,TabulaMuris_Liver_FACS,0.05512456658403775,0.008467345376112326,0.4860714298688286,0.22175386911064945,0.02340615423445869,0.5289365139432763,0.36999220768813496,0.3621194747109373,0.30453348645027783,0.2210668022198793,0.4067169107650312,0.5555886830879524,0.4259418947228829,0.5616173371970508,0.018640033793326603,0.013566889763019542,0.5549502654294267,0.16853018098600814,0.5289365139432763,0.5505819436206939,0.18189737416527732,0.050988537623517335,0.5635282429282574,0.5287388716474583,0.5283711797983001,0.24309424138275695,0.22692831523884696,0.5362873704813199,0.4321561871417981,0.5917335183812554,0.4923377500512823,0.003660820266317553
dbs,TabulaMuris_Lung_FACS,0.27436337354430296,0.003467282440672311,0.2845011606893725,0.2772191926041085,0.01560508099287542,0.1633107616768551,0.3839344020368861,0.6430128458050215,0.6806157659003738,0.13192949925082575,0.024499310454315457,0.5779529021527905,0.03720277076172706,0.6370056264746558,0.014474142802162976,0.2804279535992359,0.27527926871858105,0.5212521494773359,0.16261837274187946,0.5600809421685641,0.3303235144209681,0.04390488258301048,0.2813584320924166,0.16261837274187935,0.19026569394196746,0.3089197969055586,0.2807917818855607,0.16579083385478605,0.4761565376504864,0.6428065172182845,0.4913086708697003,0.6694449749343987
dbs,TabulaMuris_Mammary_10X,0.2440793728585781,0.0012360478049172564,0.5338308932511545,0.2674944252389663,0.0016249432770768402,0.5282019549281665,0.4364704153397911,0.2882318268725529,0.5784477117641504,0.008508197717663783,0.0007123734955223785,0.5583040823995741,0.4998069752018788,0.4600231375140875,0.007666882873496509,0.4603016285350462,0.4530212786887087,0.4573180762575911,0.5284246366909212,0.8191324600838459,0.5368838273195475,0.012779657856895698,0.4589839502547465,0.53376928606642,0.5345316306241014,0.4937697774561812,0.3148816327786313,0.44031409792798576,0.8518348610775921,0.7671419182158512,0.4539799755709996,0.5975395184720379
dbs,TabulaMuris_Mammary_FACS,0.09587160958644186,0.005556746330685525,0.1108778878346647,0.12583570354073972,0.02230702808190195,0.09810707466416382,0.4881887570092527,0.4904518849262286,0.5481784047242063,0.14821349697153796,0.0017256496902984168,0.7248658903219679,0.6259755028419399,0.5270145564626646,0.6611185574784425,0.09968249984872936,0.12036656186398692,0.3827923802782056,0.09844792312041116,0.6832507778265211,0.1510378583068883,0.022057712004244605,0.09818338960472384,0.09813294367449084,0.4635667716807977,0.6897663614988966,0.147881415427418,0.0986253371818984,0.5712494240060808,0.6405180089541911,0.7061970789146013,0.5396432003809501
dbs,TabulaMuris_Marrow_10X,0.2926388566387529,0.000715682213047246,0.4532771550341452,0.4529919356439796,0.1403745684391287,0.4529182757762482,0.4712894045013583,0.519761460973852,0.4340032460041027,0.35743426456860145,0.000715682213047246,0.30664560482566644,0.4127566769492228,0.6313643723444843,0.024984833782870256,0.4521602196442806,0.4532538067052301,0.4450764362391521,0.4529182757762482,0.4508806527622705,0.3457536085651583,0.005507398855759393,0.4522370941460493,0.4529182757762482,0.4505649170312127,0.4486516590158919,0.33882401832163755,0.4521602196442806,0.6485409684438943,0.6405942512990624,0.6153571582752527,0.4871455683575292
dbs,TabulaMuris_Marrow_FACS,0.09929651310603474,0.0031089312282248124,0.0012186989254047305,0.09884556808402828,0.0014953506549677698,0.09161141772008498,0.2362496094215332,0.44194413810359584,0.2867236968683304,0.09350661208724267,0.0004347162306574705,0.4180072241084273,0.12357608137198235,0.4974355652891944,0.0009498725519370584,0.3614853280266658,0.3556477649535865,0.2829291905320141,0.09161141772008498,0.5720587085668446,0.22774336048640045,0.018959271508546264,0.2980376820642583,0.09161141772008498,0.07357540507169306,0.4225822946409865,0.28434373820161873,0.08387255444884471,0.4241746044985863,0.625962452745189,0.5006997152859285,0.5296132257199069
dbs,TabulaMuris_Muscle_10X,0.5592778430076945,0.0013257395256254495,0.3518063275464635,0.2905136110545835,0.0037467175279027104,0.35233826474952984,0.6157656979943461,0.003486116527588789,0.6777016845030992,0.0052982175151348575,0.006177666500436925,0.7548952553591135,0.5841586705091414,0.9098294160920034,0.0003159354405945183,0.6786551506463477,0.4853347372313618,0.6560817241624268,0.35233826474952984,0.8041534178175668,0.7790913397377724,0.0204013191929646,0.5569116091920252,0.35233826474952984,0.6260341119690731,0.6724198808309589,0.17102239186146587,0.4994611583721836,0.7707348443123118,0.7630844528606884,0.5248730829646373,0.6432369332325387
dbs,TabulaMuris_Muscle_FACS,0.0881963504188614,0.0015171330645479286,0.09303841300512168,0.11114442954137553,0.034907455349448765,0.10178680004256076,0.3919169671199989,0.460187476084141,0.7183920238971941,0.09493685761803064,0.00744286673173571,0.6843880083496185,0.14361386636200604,0.6993443619806792,0.4698304533777999,0.6879227156990798,0.5426174586749726,0.2527871043294458,0.10178426973361114,0.7325166734821713,0.2170956928982641,0.04446094465597659,0.6898360057676852,0.1020220179498684,0.1808141636143799,0.5664253096870441,0.09311971584929413,0.10146310229526607,0.4907900447033428,0.7099151533935698,0.6652491362420963,0.5149338417807582
dbs,TabulaMuris_Pancreas_FACS,0.1762584554762687,0.002023284945348673,0.4297630804587767,0.3732564095698094,0.002036244014531451,0.4184760040489633,0.3649915455346752,0.6019157980402238,0.4353105883826061,0.027250524007881874,0.008929386357132595,0.502114150354289,0.34819936819122005,0.4276581260376767,0.003779825004792011,0.4339133599596628,0.40703935285341614,0.4849497280210286,0.4184760040489633,0.5085468996077351,0.5365688039255923,0.006204594432717574,0.4323010839492225,0.4184760040489633,0.3154409849694377,0.4299312962025271,0.33432154035294376,0.4054906975374467,0.5505661072697449,0.5887013731652218,0.5419920678107344,0.4338177754707611
dbs,TabulaMuris_Skin_FACS,0.06617577028504047,0.0028177022097609678,0.0033525583667734626,0.012874675823724807,0.002194363587438128,0.0358470931149327,0.011142971301490149,0.5012414893404027,0.6520206905114562,0.04473165351797143,0.001171698720308792,0.5766067101835272,0.034082889390035946,0.6242721721256728,0.006402778823342907,0.029118649019642687,0.3351869170387684,0.016711983998498776,0.03619850807625088,0.6896035070261282,0.0397187453291526,0.03031695506262377,0.06685230500521375,0.03633697605884577,0.6057165823364289,0.01327498885306948,0.010605256211223804,0.035022923397660576,0.02023839416306429,0.5162692486507542,0.4190699742791306,0.6439918738436479
