,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,kpca-sig,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tga,tsvd,umap,vasc,vpac,zifa
dbs,TabulaMuris_Liver_10X,0.018962317032885024,0.00636133932127857,0.044898563552838285,0.0011306146423713615,0.002704605000615653,0.03886081388323291,0.11275296131964685,0.09403062017296336,0.042230182421336894,0.01139109985697691,0.0015727179429396265,0.01251827642779518,0.025957942032389027,0.06573089843461162,0.07450407920683627,0.01724259031659766,0.02070386219753892,0.06035119233055746,0.017293507302418916,0.048063004410623125,0.05621267472538462,0.01431012128523379,0.003324147292495793,0.018369472558630067,0.024848985582331992,0.014093559497231484,0.0421378416272264,0.007242034744294731,,0.032645210859223533,0.06470658751524683,0.11016835516025596,0.1290393981408654,0.04387880130649325
dbs,TabulaMuris_Liver_FACS,0.1827869902509014,0.4132342801082689,0.2322071384002747,0.18740569698340592,0.0046962554490809355,0.16062829185537678,0.11722112122002518,0.4287205094235621,0.4390252019546997,0.2084309267449217,0.4016849141979871,0.6335579276983769,0.3944881467606467,0.3607048083108509,0.4550250720764872,0.041265391953233206,0.005716131657745651,0.07934754382176833,0.15128018709985405,0.17056707519833933,0.19508139314839704,0.05512253436053565,0.002365095243091941,0.21526014553027945,0.15896118335393672,0.059017609679647226,0.2460373380059661,0.1149956610608098,,0.2145922296321081,0.20499803094401786,0.627771887524907,0.2051702873097548,0.4951159711673639
dbs,TabulaMuris_Lung_FACS,0.3286191005809517,0.5898602352348985,0.026966683970405858,0.05350230266176461,0.3786507645514719,0.14093171978717672,0.05409811431145637,0.03234887607851122,0.13540325218161398,0.15092174892727422,0.1212563180434948,0.0901486589614016,0.15220518181265655,0.03636749122135385,0.6403000296813817,0.05521258576181545,0.011009879829297816,0.011009879829297816,0.36054782800717705,0.14093171978717672,0.010168647397441248,0.353130394014055,0.006778058669388569,0.011009879829297816,0.14093171978717672,0.022279018226368318,0.10577895286371647,0.2161861818639904,,0.011387657327910094,0.03540982358579192,0.66121077480378,0.4913086708697003,0.4430881082754121
dbs,TabulaMuris_Mammary_10X,0.2842122111525701,0.00923168389525264,0.007784426759883786,0.01531004964479294,0.0014788268815239597,0.00728667024001117,0.007656705344490095,0.2983669797114229,0.5922955311386399,0.2905904229628209,0.0032748386655079113,0.67691189397664,0.6800371590592837,0.006832793869509851,0.4963088663847415,0.8504140283861622,0.00728667024001117,0.005850045820356733,0.4521434435488662,0.00728667024001117,0.6427810351480016,0.4966008814152541,0.002436033957095061,0.013058406689093128,0.00728667024001117,0.00728667024001117,0.6003150420364485,0.006832793869509851,,0.00203400370709748,0.8494150918762822,0.29171270200756083,0.4539799755709996,0.6407342154064241
dbs,TabulaMuris_Mammary_FACS,0.0930609442644971,0.42136875321626266,0.0032056116808684217,0.1530970271293458,0.024702074393262337,0.010798514231892228,0.14728984484479316,0.4965526376565362,0.02231582928458007,0.1543214157091878,0.0025122526526539864,0.5339339689770551,0.154160506980523,0.1536316686894276,0.4545775945027303,0.573059568824254,0.15321761798326647,0.09610937313954317,0.15800385830916105,0.010798514231892228,0.06830613697202778,0.15379883053529128,0.0001829465737687985,0.15212718524340954,0.01166049020187723,0.1407740208668897,0.6389299505877187,0.1315494858714707,,0.15212718524340954,0.6879308044264864,0.01127524074460368,0.4555674655925829,0.0397251556000729
dbs,TabulaMuris_Marrow_10X,0.18230116009928915,0.3136851694547715,0.4697275495243533,0.4391213002926988,0.046333030914521206,0.3318370269211601,0.4616375021978506,0.4754822530036174,0.4312925580078214,0.3055805572928985,0.0003746384979745879,0.4999086641050228,0.3442206685093841,0.4086287969180569,0.026998488647016768,0.206116441310752,0.29331480078249106,0.2957862680757966,0.2955391020322904,0.3354538287081247,0.4443015313870435,0.32591169855441304,0.004226863895995252,0.4476779903799111,0.33244100024279244,0.4409103624235212,0.4449893423345613,0.27659191587147924,,0.4380205518610825,0.15455803909714838,0.5923747675901453,0.27735829179500404,0.5163141663140306
dbs,TabulaMuris_Marrow_FACS,0.007644199518124254,0.4612810769453845,0.10228627770146496,0.01281655926987965,0.0009291674944134807,0.09914328774204922,0.08431389343919922,0.10824534391780714,0.010993480430602071,0.08334612023371125,0.07169994493670657,0.05971593338998345,0.35442757149302073,0.10836173215749616,0.02676370295407397,0.4213231873831161,0.07755999625260075,0.07755999625260075,0.28040428391241434,0.13754492116793104,0.6306754598013332,0.14384816017556915,0.0005233674312403822,0.024428735175865943,0.0787900236431999,0.14673352261251466,0.21731797209522816,0.26601688775320714,,0.07751645800959725,0.4757895403873782,0.038181318207065364,0.2489278210168865,0.05789204860531692
dbs,TabulaMuris_Muscle_10X,0.4348174616284946,0.4506088762933663,0.3594561750592099,0.016752727392414034,0.013679789714452984,0.352646972377771,0.3554643883609661,0.6276741610298436,0.6793577803377235,0.007278876682078727,0.2964078291285453,0.19740974970972144,0.5170014768350395,0.4850626936233279,0.1435256437169109,0.8403336382128427,0.3320771415301245,0.4007850230315233,0.4369025194013807,0.352599365671567,0.8302413293671199,0.4548167136717508,0.0018320602881744085,0.5364255074499555,0.34970796815675964,0.010826040662886768,0.8257498902488726,0.011094295779231088,,0.4850438103766071,0.7719052043548672,0.691163269551376,0.5248730829646373,0.5416021424666961
dbs,TabulaMuris_Muscle_FACS,0.4136983789654193,0.7221533979908519,0.03320575712507854,0.02033967094038333,0.002998733497679679,0.03381300328364878,0.01703536815919841,0.03372175815625822,0.04413477319402862,0.3232338011760019,0.017525075463342643,0.0619098370068485,0.4338179945011613,0.5441087325726903,0.4163954230069832,0.044908689033102016,0.4027698060245059,0.05299807135531659,0.3845605452480288,0.01978711209842917,0.010838900583694657,0.1036475986541879,0.0007199101848253767,0.4027698060245059,0.03118324174965657,0.03351095775046084,0.5641297960238408,0.0084413491229713,,0.4048373991748104,0.3636999978488248,0.5650542612601623,0.4319120432311752,0.7111527894237392
dbs,TabulaMuris_Pancreas_FACS,0.12493359745240395,0.5915113162455222,0.02922195171377827,0.06273977055159964,0.005068763095239057,0.020901233877787168,0.22166456733450648,0.5868260865753627,0.4417732584196536,0.25793182357037964,0.013341568064987921,0.0264427954394765,0.36725953911156783,0.4841612065604325,0.3846582866694812,0.5413316286908201,0.018791589309439128,0.0679295575872722,0.36206149871036014,0.18349437570631533,0.36158267649250736,0.5126742829790019,0.009238857076893484,0.06610634423369764,0.1803747413371156,0.03968168725834597,0.4206369302914947,0.2816943374093339,,0.3931591705662208,0.30150669854121104,0.5363622257228627,0.5419920678107343,0.4256545192894998
dbs,TabulaMuris_Skin_FACS,0.14099631488425124,0.21530505579869447,0.21280473546972792,0.011764637652608894,0.5857215316534761,0.058017578514431616,0.03902073033909369,0.026985342674567703,0.02963638013978088,0.19804272540640194,0.0010238386178189596,0.03772791013736518,0.006987232800260651,0.0160713495648756,0.5435824671990814,0.5210797279412205,0.0063684201102501385,0.001852530136017621,0.032873680401104284,0.058651862240997436,0.6798906524605435,0.03125301474562056,0.006932131989943733,0.02722366278355896,0.005973180700124312,0.030963336215513323,0.02368611926365784,0.018658330761645463,,0.2005071244170888,0.0155262595516534,0.6441798624777291,0.18673955985989746,0.09857190234964547
dbs,TabulaMuris_Spleen_10X,0.04044286154011124,0.037263215312400434,0.038226286636744634,0.03857121058487916,0.0005076990774620638,0.03851767262104748,0.0406643426973944,0.0016779983109971146,0.04044286154011124,0.039251242205866864,0.0007095436123731901,0.3101517608634149,0.6687377704687594,0.0014572238773195238,0.002986518119633709,0.049066895245416436,0.038429738760805986,0.017270676722001468,0.0448256543208566,0.03846486785866377,0.04757855879419904,0.03804100122501971,0.0005601395200426979,0.002124951635995389,0.03846486785866377,0.04024985343241262,0.012391045798454941,0.04546125517103688,,0.002235922026500507,0.0381374019059861,0.7977784892328849,0.3123011786459108,0.0385532524593471
dbs,TabulaMuris_Spleen_FACS,0.7886364185181668,0.7720304996570082,0.030278492369672942,0.009751160631826784,0.7854067284066073,0.10470405702133127,0.029934752920244032,0.5354875777312645,0.04512809432259558,0.018916273558057948,0.04998648435864314,0.804167905346562,0.7894903453504063,0.002502296030039241,0.7860908379889182,0.01171553347247437,0.030278492369672942,0.04082387335428735,0.030278492369672942,0.11094196402083112,0.808478218298657,0.0724173356020487,0.0025414045105413463,0.7854067284066073,0.10803960539080076,0.081304782359506,0.018170973154616483,0.0724173356020487,,0.054075770125774636,0.020348175137944152,0.10601472324213164,0.5708166499408219,0.2883792737450043
dbs,TabulaMuris_Thymus_10X,0.037795505972051516,0.09232724720280244,0.099234113563339,0.017302169333656258,0.001147076130703485,0.053331852550320025,0.10006833192639183,0.0876702406916782,0.0696559748966546,0.04241512328857201,0.0036619396527186963,0.09266387048738413,0.07055551591895319,0.1624020995675096,0.029258937132656256,0.06109302590487125,0.046828405104036665,0.022121270152945467,0.06907060181693307,0.05482761872082538,0.036170614710728334,0.10373251160045982,0.0010770341080824182,0.0319538253050172,0.05482761872082538,0.005001902483587721,0.11310144288993007,0.0001892591530368454,,0.0748674731543171,0.056961522055447814,0.12240061796829715,0.05321393134817797,0.1105558771274559
dbs,TabulaMuris_Thymus_FACS,0.0756910373667767,0.2404357977900124,0.4545620279061837,0.4521576686383394,0.002060948226730666,0.3063054711720403,0.05371701309159901,0.4456335390068581,0.15646793801928668,0.4545620279061837,0.4710114478426507,0.5767177879083107,0.3310525698855398,0.3473408315722457,0.3606250280291817,0.004563489757064998,0.0020061788193932984,0.4456335390068581,0.5231033761379809,0.2621492845767512,0.1658400510163497,0.4344263615544887,0.00010244194954017368,0.4456335390068581,0.30533458219764115,0.3552596534185274,0.3270690810609079,0.33731745290454945,,0.4456335390068581,0.0043884794140034026,0.21646475034534485,0.5642116606200396,0.38932936914865385
dbs,TabulaMuris_Tongue_10X,0.13209166189569824,0.013393223934964043,0.005386310626630989,0.005660345373283342,0.019308601597212826,0.008882257447974072,0.007046696683864944,0.005651754020710687,0.009337359598232571,0.01864365600882816,0.013392848019595413,0.018255176001966963,0.2351813567896875,0.06171976968787731,0.01116157145184131,0.09170169623662966,0.2394115544066247,0.008882257447974072,0.02135954685990288,0.01955976252948112,0.012049845692280192,0.009790774044392507,0.0002198183405458689,0.006123359165862029,0.00979643300131736,0.011605223395794579,0.008003911044550976,0.009337359598232571,,0.17257210544989052,0.035148054495901984,0.022386889313924543,0.20397693372128767,0.008414060071369635
dbs,TabulaMuris_Tongue_FACS,0.2384318474027121,0.09489337433175964,0.06579453492135316,0.0658885792955002,0.0021378386011085475,0.1019636966458982,0.06792074381836774,0.05979808599151076,0.07671403348182138,0.06579453492135316,0.002305141750906241,0.06511780436762503,0.1603880643723953,0.06579453492135316,0.06759498526188243,0.11921624504449024,0.056345180110226635,0.06579453492135316,0.0789091050730902,0.1019636966458982,0.08477557323579434,0.07282159063738168,0.004308375587095897,0.0658885792955002,0.1019636966458982,0.06579453492135316,0.0981460838164506,0.0810980923519357,,0.06579453492135316,0.06579453492135316,0.10907748224100132,0.25328036136233023,0.10128801135133986
dbs,TabulaMuris_Trachea_FACS,0.2405044825357526,0.0172473422907557,0.04214353841510072,0.11043270368710127,0.002606468331508609,0.040390496096287226,0.0772070659735032,0.014619286886775268,0.025053206913974845,0.09382441486331744,0.007974771762338887,0.02436143490644717,0.3059415958489416,0.01452281045504881,0.3291061210265895,0.307371375420768,0.03831585929724866,0.011913366769595904,0.2859719682127463,0.08596036283580034,0.02849099630002024,0.10399151283298154,0.004966153537417586,0.01252278841172605,0.094651404005949,0.03650976746002557,0.30314302450201097,0.06039967474349407,,0.010480201301770185,0.2809870879843429,0.2777376499660817,0.2938072430873816,0.02155465139340155
dbs,baron-human,0.21669906263090405,0.02328688714137879,0.5243614208365429,0.11966233914055092,0.4670865431343706,0.5257884429735207,0.13035490417703766,0.044231801798378635,0.7534920197332615,0.21124776702947173,0.0010953567100133077,0.4590604072930271,0.4714168978955915,0.6092876276703366,0.019741002149862245,0.022910116859877545,0.4670865431343706,0.4349687957466689,0.3323363512207785,0.5257884429735207,0.054394609774600616,0.4428586854512149,0.0008645667319004093,0.4670865431343706,0.5260811912484065,0.0733487537177033,0.618984000946523,0.38592733956743547,0.1979054319403272,0.4323142499578612,0.8121493176727687,0.016593849641870828,0.4715359893081436,0.14402171258434665
