dataset,count_type,method,dimensions,seconds,memory
TabulaMuris_Heart_10X,counts,kpca-cos,96,0.9573237895965576,884396
TabulaMuris_Heart_10X,counts,grp,8,0.052509307861328125,479720
TabulaMuris_Heart_10X,counts,grp,2,0.03802847862243652,479708
TabulaMuris_Heart_10X,counts,grp,4,0.04295992851257324,479492
TabulaMuris_Heart_10X,counts,grp,16,0.07341718673706055,479700
TabulaMuris_Heart_10X,counts,grp,32,0.11544203758239746,479456
TabulaMuris_Heart_10X,counts,grp,48,0.15670299530029297,479696
TabulaMuris_Heart_10X,counts,grp,96,0.27488136291503906,479704
TabulaMuris_Heart_10X,counts,pmf,8,25.008288860321045,969852
TabulaMuris_Heart_10X,counts,pmf,2,9.353912115097046,970708
TabulaMuris_Heart_10X,counts,pmf,4,19.049981594085693,970932
TabulaMuris_Heart_10X,counts,pmf,16,36.70324373245239,976888
TabulaMuris_Heart_10X,counts,pmf,32,70.36638927459717,989844
TabulaMuris_Heart_10X,counts,pmf,48,382.94515466690063,1002492
TabulaMuris_Heart_10X,counts,pmf,96,661.519761800766,1022176
TabulaMuris_Heart_10X,counts,ipca,8,2.8888676166534424,762584
TabulaMuris_Heart_10X,counts,ipca,2,2.932513475418091,761848
TabulaMuris_Heart_10X,counts,ipca,4,2.9418392181396484,760908
TabulaMuris_Heart_10X,counts,ipca,16,3.389084577560425,760852
TabulaMuris_Heart_10X,counts,ipca,32,2.9654195308685303,761164
TabulaMuris_Heart_10X,counts,ipca,48,3.41373348236084,766432
TabulaMuris_Heart_10X,counts,ipca,96,2.884382963180542,761080
TabulaMuris_Heart_10X,counts,lda,8,48.950982093811035,479560
TabulaMuris_Heart_10X,counts,lda,2,19.187586307525635,479392
TabulaMuris_Heart_10X,counts,lda,4,43.111629247665405,479372
TabulaMuris_Heart_10X,counts,lda,16,70.7798285484314,479356
TabulaMuris_Heart_10X,counts,lda,32,82.05760931968689,479364
TabulaMuris_Heart_10X,counts,lda,48,112.92027854919434,479388
TabulaMuris_Heart_10X,counts,lda,96,173.90231204032898,479356
TabulaMuris_Heart_10X,counts,kpca-sig,8,0.7869422435760498,564596
TabulaMuris_Heart_10X,counts,kpca-sig,2,0.8861773014068604,570096
TabulaMuris_Heart_10X,counts,kpca-sig,4,0.8811135292053223,570008
TabulaMuris_Heart_10X,counts,kpca-sig,16,0.8205914497375488,572364
TabulaMuris_Heart_10X,counts,kpca-sig,32,0.8139917850494385,570588
TabulaMuris_Heart_10X,counts,kpca-sig,48,1.0024762153625488,572356
TabulaMuris_Heart_10X,counts,kpca-sig,96,0.989915132522583,572084
TabulaMuris_Heart_10X,counts,umap,8,10.626673460006714,485060
TabulaMuris_Heart_10X,counts,umap,2,9.655860185623169,479364
TabulaMuris_Heart_10X,counts,umap,4,9.590630054473877,479372
TabulaMuris_Heart_10X,counts,umap,16,10.391519784927368,479632
TabulaMuris_Heart_10X,counts,umap,32,11.32463264465332,479568
TabulaMuris_Heart_10X,counts,umap,48,12.156914710998535,483140
TabulaMuris_Heart_10X,counts,umap,96,14.029267072677612,479376
TabulaMuris_Heart_10X,counts,phate,8,43.79710149765015,614008
TabulaMuris_Heart_10X,counts,phate,2,6.10146164894104,622556
TabulaMuris_Heart_10X,counts,phate,4,23.632840871810913,624252
TabulaMuris_Heart_10X,counts,phate,16,45.318206548690796,613256
TabulaMuris_Heart_10X,counts,phate,32,46.83419609069824,619156
TabulaMuris_Heart_10X,counts,phate,48,49.64742827415466,623812
TabulaMuris_Heart_10X,counts,phate,96,54.6296226978302,615804
TabulaMuris_Heart_10X,counts,fica,8,2.1941237449645996,665488
TabulaMuris_Heart_10X,counts,fica,2,2.12269926071167,664652
TabulaMuris_Heart_10X,counts,fica,4,2.1858725547790527,663284
TabulaMuris_Heart_10X,counts,fica,16,2.08209228515625,664708
TabulaMuris_Heart_10X,counts,fica,32,2.2881345748901367,665140
TabulaMuris_Heart_10X,counts,fica,48,2.3407392501831055,662920
TabulaMuris_Heart_10X,counts,fica,96,3.3541455268859863,662120
