Dataset,Method,Dimensions,realM,realS,userM,userS,sysM,sysS
marques,lle,40,3,29.044,11,57.153,0,25.615
marques,spectral,40,3,58.935,20,45.215,0,12.505
marques,mds,40,9,34.518,34,30.735,19,22.615
marques,fa,40,3,32.713,15,31.211,3,23.530
marques,fica,40,2,33.269,8,48.487,0,14.622
marques,nmf,40,8,56.490,10,2.680,0,24.938
marques,lda,40,12,23.966,43,37.740,81,25.145
marques,mctsne,40,3,1.847,7,50.998,0,9.907
marques,umap,45,9,38.781,9,18.478,0,9.957
marques,pca,45,1,53.708,2,24.898,0,18.179
marques,isomap,45,3,35.654,11,46.300,0,26.903
marques,lle,45,3,40.650,11,49.082,0,25.677
marques,spectral,45,3,52.284,20,32.808,0,12.920
marques,mds,45,9,39.514,34,57.151,19,1.168
marques,fa,45,3,35.883,15,40.974,3,36.032
marques,fica,45,2,30.459,8,22.386,0,17.694
marques,nmf,45,9,40.463,10,49.722,0,26.797
marques,lda,45,21,30.596,113,12.828,120,11.546
marques,mctsne,45,3,38.910,8,23.433,0,9.861
marques,umap,50,9,55.676,9,18.522,0,8.761
marques,pca,50,1,52.909,2,29.571,0,15.199
marques,isomap,50,3,45.084,11,41.046,0,27.310
marques,lle,50,3,28.386,11,52.975,0,25.553
marques,spectral,50,3,55.364,20,44.579,0,12.090
marques,mds,50,11,7.716,53,3.118,40,39.165
marques,fa,50,4,21.776,22,38.743,4,41.245
marques,fica,50,2,32.111,8,44.850,0,25.237
marques,nmf,50,5,9.282,34,38.209,7,1.561
marques,lda,50,19,50.989,107,2.129,106,43.616
marques,mctsne,50,1376,25.837,1829,48.280,12,16.580
marques,umap,60,9,58.110,9,30.616,0,8.742
marques,pca,60,2,21.343,2,31.872,0,13.975
marques,isomap,60,3,37.677,11,42.515,0,26.045
marques,lle,60,3,58.925,11,53.527,0,24.553
marques,spectral,60,3,53.117,20,46.441,0,13.609
marques,mds,60,11,10.145,54,39.374,40,27.211
marques,fa,60,5,47.311,35,26.612,6,4.198
marques,fica,60,2,32.301,8,56.953,0,29.334
marques,nmf,60,5,28.127,37,20.861,6,33.059
marques,lda,60,21,51.095,113,7.933,123,11.700
marques,mctsne,60,3,0.176,4,54.799,0,42.656
marques,umap,70,10,12.858,9,54.095,0,9.040
marques,pca,70,1,57.453,2,31.316,0,18.229
marques,isomap,70,3,24.772,11,43.800,0,26.158
marques,lle,70,4,14.203,11,54.665,0,24.225
marques,spectral,70,3,51.882,20,39.984,0,13.888
marques,mds,70,11,10.358,55,9.302,40,24.962
marques,fa,70,5,34.152,32,57.614,6,27.461
marques,fica,70,2,34.003,8,41.639,0,32.985
marques,nmf,70,6,2.352,40,17.307,6,55.828
marques,lda,70,21,14.717,105,20.218,122,53.244
marques,mctsne,70,2,47.797,8,50.989,0,10.831
marques,umap,80,10,14.531,9,46.024,0,10.825
marques,pca,80,1,57.362,2,36.720,0,14.475
marques,isomap,80,3,32.939,11,46.053,0,27.307
marques,lle,80,3,29.783,11,52.612,0,25.200
marques,spectral,80,3,58.225,20,40.865,0,12.411
marques,mds,80,11,11.305,56,35.961,41,16.925
marques,fa,80,5,7.016,29,5.185,5,4.946
marques,fica,80,2,33.298,8,42.987,0,45.443
marques,nmf,80,6,13.012,40,20.795,8,13.112
marques,lda,80,25,36.169,120,50.896,157,1.402
marques,mctsne,80,371,31.629,420,40.893,1,23.278
marques,umap,90,10,5.915,9,51.780,0,8.692
marques,pca,90,1,58.275,2,35.411,0,15.750
marques,isomap,90,3,31.962,11,45.635,0,27.463
marques,lle,90,3,34.558,11,55.315,0,28.926
marques,spectral,90,3,57.076,20,46.411,0,13.440
marques,mds,90,11,10.915,57,17.112,41,22.887
marques,fa,90,5,11.898,30,30.306,5,37.396
marques,fica,90,2,34.999,9,5.166,0,43.504
marques,nmf,90,7,15.156,43,37.378,10,28.408
marques,lda,90,28,40.485,148,6.483,167,16.988
marques,mctsne,90,3,3.034,4,54.929,0,39.575
marques,umap,100,10,15.377,10,1.770,0,8.913
marques,pca,100,2,0.011,2,44.675,0,15.106
marques,isomap,100,3,32.719,11,48.365,0,29.687
marques,lle,100,3,31.352,11,47.546,0,27.210
marques,spectral,100,4,3.119,20,48.615,0,14.665
marques,mds,100,11,17.411,58,18.485,41,20.534
marques,fa,100,4,37.353,26,24.431,4,26.772
marques,fica,100,2,37.969,9,33.638,0,55.510
marques,nmf,100,7,16.119,45,48.953,9,5.407
marques,lda,100,31,12.703,174,4.328,170,22.618
marques,mctsne,100,4,18.126,11,23.749,0,13.885
marques,umap,125,10,48.405,10,36.136,0,10.366
marques,pca,125,1,51.893,2,43.042,0,16.888
marques,isomap,125,3,27.778,11,45.386,0,27.009
marques,lle,125,3,42.294,11,50.961,0,26.224
marques,spectral,125,4,1.460,21,6.967,0,13.666
marques,mds,125,11,30.122,61,33.227,42,20.697
marques,fa,125,6,24.066,42,46.471,6,52.211
marques,fica,125,2,41.414,9,38.870,1,19.185
marques,nmf,125,8,42.840,49,5.454,12,35.903
marques,lda,125,33,52.659,183,20.895,189,24.641
marques,mctsne,125,3,6.440,4,55.128,0,42.405
marques,lle,150,4,11.929,12,8.719,1,11.168
marques,pca,150,2,12.459,3,0.531,0,45.533
marques,umap,150,12,25.062,15,4.853,0,10.258
marques,isomap,150,4,18.928,12,47.041,1,21.323
marques,spectral,150,6,15.339,41,37.129,0,18.936
marques,mds,150,12,24.223,65,4.658,42,42.578
marques,fa,150,8,22.396,45,42.891,22,4.266
marques,fica,150,3,46.340,19,2.011,1,33.738
marques,nmf,150,12,9.705,50,49.851,32,27.348
marques,lda,150,49,22.563,201,57.446,290,25.444
shekhar,umap,2,73,23.290,70,20.323,0,35.849
shekhar,pca,2,6,9.040,5,56.855,0,26.800
shekhar,isomap,2,64,37.773,475,10.127,1,43.089
shekhar,lle,2,51,6.751,471,26.085,0,41.876
shekhar,spectral,2,69,3.008,596,44.119,1,2.660
shekhar,mds,2,8,11.366,17,27.480,1,47.825
shekhar,fa,2,7,39.748,7,27.860,0,56.411
shekhar,fica,2,14,7.683,94,17.492,0,32.530
shekhar,nmf,2,10,7.302,10,1.793,0,30.918
shekhar,lda,2,20,39.566,20,23.800,0,28.369
shekhar,mctsne,2,33,38.056,292,57.646,1,22.191
shekhar,umap,3,77,11.416,71,52.176,0,34.572
shekhar,pca,3,6,46.052,6,25.724,0,35.053
shekhar,isomap,3,66,35.703,478,28.702,1,49.817
shekhar,lle,3,49,46.325,466,22.484,0,44.422
shekhar,spectral,3,68,33.636,595,32.307,0,53.149
shekhar,mds,3,8,22.406,18,6.615,1,38.476
shekhar,fa,3,13,53.433,13,57.778,3,35.132
shekhar,fica,3,14,13.320,94,0.477,0,42.122
shekhar,nmf,3,10,56.187,10,35.728,0,45.657
shekhar,lda,3,23,57.339,23,45.690,1,8.270
shekhar,mctsne,3,35,8.485,301,8.009,1,25.756
shekhar,umap,4,71,17.951,69,25.436,0,35.778
shekhar,pca,4,6,11.975,5,59.575,0,27.065
shekhar,isomap,4,62,25.581,476,19.047,1,59.618
shekhar,lle,4,50,0.168,467,40.777,0,41.066
shekhar,spectral,4,69,7.704,595,46.554,0,58.301
shekhar,mds,4,7,50.894,17,0.212,1,23.225
shekhar,fa,4,11,13.809,11,13.734,2,23.995
shekhar,fica,4,14,16.741,93,25.909,0,36.624
shekhar,nmf,4,12,48.485,12,42.156,0,31.557
shekhar,lda,4,25,11.985,25,30.703,3,45.149
shekhar,mctsne,4,39,28.293,321,3.988,1,54.710
shekhar,umap,5,95,13.089,92,45.771,0,44.206
shekhar,pca,5,6,13.492,6,1.764,0,26.328
shekhar,isomap,5,65,0.319,475,26.964,2,5.017
shekhar,lle,5,49,55.884,466,52.895,0,46.181
shekhar,spectral,5,69,0.777,595,13.387,0,57.038
shekhar,mds,5,8,3.016,17,20.102,1,35.370
shekhar,fa,5,11,12.123,11,6.831,2,17.870
shekhar,fica,5,13,38.075,92,30.602,0,32.818
shekhar,nmf,5,13,25.808,13,19.336,0,31.534
shekhar,lda,5,27,9.740,29,30.836,15,16.434
shekhar,mctsne,5,47,6.631,363,44.783,3,0.473
shekhar,umap,8,72,36.078,69,50.869,0,34.223
shekhar,pca,8,6,22.813,6,4.486,0,26.830
shekhar,isomap,8,63,52.024,478,58.176,2,19.263
shekhar,lle,8,51,0.449,466,34.181,0,40.789
shekhar,spectral,8,69,23.874,596,20.173,0,55.928
shekhar,fa,8,9,18.557,9,12.916,1,25.387
shekhar,fica,8,14,1.021,92,10.146,0,38.813
shekhar,nmf,8,14,36.351,14,30.683,0,31.660
shekhar,lda,8,30,6.002,50,2.095,96,7.369
shekhar,mctsne,8,146,22.026,1009,10.429,26,20.582
shekhar,umap,10,124,18.259,121,17.459,1,11.655
shekhar,pca,10,6,24.640,6,4.555,0,27.502
shekhar,isomap,10,86,8.288,712,51.288,16,2.913
shekhar,lle,10,71,52.491,696,40.383,10,54.075
shekhar,spectral,10,69,31.854,595,56.650,1,2.438
shekhar,mds,10,8,16.429,17,49.080,1,39.270
shekhar,fa,10,8,47.035,8,33.796,1,7.819
shekhar,fica,10,13,45.704,93,17.423,0,31.533
shekhar,nmf,10,15,22.790,15,17.480,0,31.178
shekhar,lda,10,31,29.473,63,48.532,160,22.238
shekhar,mctsne,10,700,4.527,5326,48.991,210,43.809
shekhar,umap,15,77,34.028,71,12.695,0,39.092
shekhar,pca,15,6,8.790,5,56.440,0,26.333
shekhar,isomap,15,105,52.025,884,59.808,49,17.133
shekhar,lle,15,72,48.337,701,52.490,14,25.811
shekhar,spectral,15,69,25.697,599,54.136,0,51.378
shekhar,mds,15,8,22.328,17,33.275,1,39.274
shekhar,fa,15,8,42.569,8,34.377,1,1.759
shekhar,fica,15,13,51.460,93,18.283,0,33.271
shekhar,nmf,15,17,21.255,17,15.043,0,32.173
shekhar,lda,15,31,11.867,79,59.745,221,43.437
shekhar,mctsne,15,32,47.864,283,44.596,1,54.568
shekhar,umap,25,72,52.832,71,12.302,0,32.867
shekhar,pca,25,6,40.346,6,26.089,0,27.238
shekhar,isomap,25,84,32.260,713,21.841,18,59.223
shekhar,lle,25,69,9.767,696,3.344,12,17.967
shekhar,spectral,25,69,24.168,601,18.482,0,57.081
shekhar,mds,25,8,11.488,17,53.598,1,43.450
shekhar,fa,25,9,42.511,9,34.232,1,8.679
shekhar,fica,25,14,1.041,93,48.043,0,39.532
shekhar,nmf,25,21,48.250,21,40.030,0,33.384
shekhar,lda,25,33,43.298,98,41.641,231,36.528
shekhar,mctsne,25,279,22.445,522,2.271,10,51.971
shekhar,umap,30,73,10.677,71,50.678,0,35.265
shekhar,pca,30,6,27.823,6,15.893,0,26.895
shekhar,isomap,30,100,55.355,882,45.205,49,1.128
shekhar,lle,30,70,36.949,697,7.034,12,2.794
shekhar,spectral,30,69,36.579,598,14.139,1,2.276
shekhar,mds,30,8,19.682,17,16.874,1,34.740
shekhar,fa,30,11,35.312,11,15.397,1,33.418
shekhar,fica,30,14,2.222,94,28.108,0,47.044
shekhar,nmf,30,23,36.286,23,29.509,0,33.306
shekhar,lda,30,34,57.257,101,40.760,244,32.377
shekhar,mctsne,30,32,18.460,283,22.808,1,39.715
shekhar,umap,35,72,58.414,71,40.240,0,35.742
shekhar,pca,35,6,45.977,6,33.852,0,27.210
shekhar,isomap,35,101,1.306,880,3.745,48,43.265
shekhar,lle,35,69,46.128,699,4.977,12,46.786
shekhar,spectral,35,69,19.248,596,29.909,0,53.641
shekhar,fa,35,9,53.379,9,47.527,1,2.541
shekhar,fica,35,14,6.648,93,21.748,0,54.393
shekhar,nmf,35,25,49.443,25,42.811,0,33.905
shekhar,lda,35,36,3.830,106,21.186,251,26.972
shekhar,mctsne,35,39,44.828,302,19.579,1,19.029
shekhar,umap,40,75,52.709,72,27.669,0,37.390
shekhar,pca,40,6,25.947,7,53.562,0,40.704
shekhar,isomap,40,83,21.953,704,21.090,15,56.554
shekhar,lle,40,69,43.082,693,26.843,13,32.488
shekhar,spectral,40,68,50.893,595,19.758,1,0.729
shekhar,mds,40,8,20.704,17,38.164,1,34.724
shekhar,fa,40,8,20.744,24,18.144,3,13.887
shekhar,fica,40,14,0.623,93,27.186,1,0.771
shekhar,nmf,40,27,43.886,30,35.987,1,13.707
shekhar,lda,40,38,10.840,112,0.263,267,16.773
shekhar,mctsne,40,40,4.800,303,39.748,1,12.087
shekhar,umap,45,75,17.311,72,4.192,0,35.241
shekhar,pca,45,6,9.272,7,35.572,0,42.120
shekhar,isomap,45,86,43.599,746,21.249,19,50.647
shekhar,lle,45,69,51.147,699,22.843,13,7.266
shekhar,spectral,45,69,42.823,600,20.989,0,59.441
shekhar,mds,45,8,19.859,18,0.127,1,41.326
shekhar,fa,45,8,21.167,24,17.844,3,22.968
shekhar,fica,45,14,16.270,93,31.905,1,18.000
shekhar,nmf,45,29,56.246,32,58.404,1,18.838
shekhar,lda,45,51,47.756,223,51.337,322,19.003
shekhar,mctsne,45,41,17.751,307,9.434,1,24.420
shekhar,umap,50,94,6.872,92,59.002,0,43.571
shekhar,pca,50,6,13.875,7,54.073,0,36.938
shekhar,isomap,50,99,38.920,869,52.148,41,39.163
shekhar,lle,50,69,51.511,700,0.002,13,36.457
shekhar,spectral,50,69,26.220,600,16.336,1,1.363
shekhar,mds,50,8,25.304,18,4.213,1,56.168
shekhar,fa,50,8,0.779,24,29.403,2,52.201
shekhar,fica,50,14,7.474,95,32.415,1,10.740
shekhar,nmf,50,14,51.455,95,41.977,15,59.631
shekhar,lda,50,50,43.697,223,3.700,311,55.623
shekhar,mctsne,50,48,48.284,317,15.485,1,35.829
shekhar,umap,60,73,46.974,72,36.975,0,34.939
shekhar,pca,60,6,13.038,7,53.332,0,39.492
shekhar,isomap,60,84,3.810,713,58.580,15,39.489
shekhar,lle,60,69,36.058,697,16.910,11,57.406
shekhar,spectral,60,68,51.570,598,4.664,0,52.994
shekhar,mds,60,8,16.122,17,43.315,1,42.056
shekhar,fa,60,9,17.540,32,57.601,3,46.628
shekhar,fica,60,13,47.101,93,27.070,1,16.147
shekhar,nmf,60,16,18.610,109,11.161,15,20.729
shekhar,lda,60,54,12.883,229,24.868,339,33.155
shekhar,mctsne,60,32,5.969,283,42.193,1,39.596
shekhar,umap,70,74,9.348,73,12.581,0,47.620
shekhar,pca,70,6,14.044,7,46.740,0,38.820
shekhar,isomap,70,84,6.115,713,43.723,15,41.859
shekhar,lle,70,69,35.366,696,28.797,13,29.748
shekhar,spectral,70,70,8.691,596,27.841,1,7.293
shekhar,mds,70,8,11.513,17,34.309,1,53.490
shekhar,fa,70,8,15.076,24,40.497,3,18.500
shekhar,fica,70,14,14.104,94,26.633,1,44.861
shekhar,nmf,70,17,18.086,115,38.858,16,39.206
shekhar,lda,70,52,17.861,204,53.023,340,56.257
shekhar,mctsne,70,36,7.794,310,8.935,1,16.542
shekhar,umap,80,75,32.129,74,38.456,0,37.537
shekhar,pca,80,7,0.120,8,39.099,0,48.377
shekhar,isomap,80,101,24.137,883,41.272,50,51.591
shekhar,lle,80,70,0.821,700,56.744,15,13.968
shekhar,spectral,80,72,58.107,625,24.538,1,45.226
shekhar,mds,80,8,30.736,18,22.169,1,37.882
shekhar,fa,80,8,39.696,28,8.347,3,26.616
shekhar,fica,80,13,56.465,92,59.834,1,49.857
shekhar,nmf,80,17,5.191,112,38.169,17,4.865
shekhar,lda,80,56,27.768,216,19.065,379,20.558
shekhar,mctsne,80,2075,33.312,2599,26.666,9,30.872
shekhar,umap,90,75,52.453,75,3.411,0,36.605
shekhar,pca,90,6,15.005,7,51.097,0,40.654
shekhar,isomap,90,100,49.957,882,6.033,49,30.330
shekhar,lle,90,69,10.249,693,20.166,13,16.929
shekhar,spectral,90,69,33.372,600,14.112,0,59.850
shekhar,fa,90,9,8.020,31,34.213,4,1.174
shekhar,fica,90,14,13.568,93,35.512,1,31.343
shekhar,nmf,90,18,35.196,126,26.731,16,58.309
shekhar,lda,90,65,54.281,287,29.716,422,0.544
shekhar,mctsne,90,31,56.664,283,22.508,1,58.395
shekhar,umap,100,130,24.530,129,34.938,1,9.778
shekhar,pca,100,6,20.195,8,16.017,0,37.607
shekhar,isomap,100,91,29.318,795,6.995,22,40.712
shekhar,lle,100,70,21.435,704,58.887,13,31.777
shekhar,spectral,100,70,3.693,602,6.113,0,59.926
shekhar,fa,100,8,49.417,30,10.114,3,26.131
shekhar,fica,100,14,14.504,94,39.059,2,33.997
shekhar,nmf,100,19,11.463,125,34.251,17,4.414
shekhar,lda,100,67,54.747,305,36.421,424,53.887
shekhar,mctsne,100,37,39.560,321,19.857,1,38.799
shekhar,umap,125,76,23.851,77,9.385,0,35.559
shekhar,pca,125,6,10.623,8,28.305,0,40.353
shekhar,isomap,125,87,17.341,748,6.344,25,12.314
shekhar,lle,125,69,10.045,696,16.709,12,33.201
shekhar,spectral,125,69,45.515,595,42.112,1,3.053
shekhar,fa,125,8,55.151,31,51.845,3,31.493
shekhar,fica,125,14,18.658,94,42.381,2,22.998
shekhar,nmf,125,21,49.826,135,53.463,19,57.763
shekhar,lda,125,76,15.753,339,34.501,486,19.006
shekhar,mctsne,125,32,11.660,283,8.109,1,58.846
shekhar,umap,150,145,38.409,150,34.787,1,30.183
shekhar,pca,150,6,22.129,8,36.571,2,4.166
shekhar,isomap,150,106,40.044,869,25.769,56,40.794
shekhar,lle,150,95,59.624,861,2.174,75,14.813
shekhar,spectral,150,74,11.091,600,8.066,1,50.842
shekhar,mds,150,8,41.938,18,39.948,2,8.398
shekhar,fa,150,8,39.765,27,59.712,2,54.732
shekhar,fica,150,23,45.567,153,5.750,10,37.265
shekhar,nmf,150,32,51.770,146,26.888,81,47.288
shekhar,lda,150,85,41.424,388,5.051,544,8.179
