Dataset,Method,Dimensions,realM,realS,userM,userS,sysM,sysS
baron-human,umap,175,30,59.854,34,11.486,0,17.322
baron-human,pca,175,3,2.078,4,26.583,1,8.728
baron-human,isomap,175,7,47.464,34,53.154,5,16.112
baron-human,lle,175,7,27.636,34,37.007,5,5.513
baron-human,spectral,175,9,35.452,66,55.197,0,18.232
baron-human,mds,175,29,33.696,181,55.804,81,25.054
baron-human,fa,175,13,19.992,71,25.852,36,53.052
baron-human,fica,175,7,50.233,48,44.442,2,16.563
baron-human,nmf,175,18,9.026,79,48.821,48,54.193
baron-human,lda,175,54,11.524,259,57.808,337,32.124
baron-human,mctsne,175,287,58.858,303,11.580,1,49.019
campbell,umap,2,102,13.799,99,45.789,1,4.541
campbell,isomap,2,75,15.479,649,39.841,1,57.370
campbell,lle,2,69,55.992,653,17.490,1,10.070
campbell,spectral,2,80,56.037,822,26.525,1,19.413
campbell,mds,2,11,47.660,21,36.734,1,51.573
campbell,fa,2,13,20.103,12,48.499,1,32.261
campbell,fica,2,39,49.636,351,54.874,2,3.702
campbell,nmf,2,11,5.101,10,50.910,0,44.790
campbell,lda,2,34,39.813,45,35.252,70,29.137
campbell,mctsne,2,23,54.994,140,25.824,1,28.940
campbell,umap,3,103,3.383,100,33.884,1,0.732
campbell,pca,3,10,20.928,9,55.217,0,40.205
campbell,isomap,3,74,46.238,650,15.157,2,14.688
campbell,lle,3,69,32.188,647,29.573,1,15.684
campbell,spectral,3,80,28.225,820,22.529,1,17.647
campbell,mds,3,11,25.374,20,54.456,1,46.083
campbell,fa,3,14,31.123,14,4.862,1,48.041
campbell,fica,3,40,35.302,356,45.696,2,24.096
campbell,nmf,3,12,16.700,12,6.586,0,41.791
campbell,lda,3,38,6.852,71,47.827,192,26.149
campbell,mctsne,3,25,0.634,145,9.175,1,34.984
campbell,umap,4,108,50.004,106,10.368,1,14.654
campbell,pca,4,10,37.242,10,4.777,0,46.997
campbell,isomap,4,76,47.473,647,29.477,2,26.699
campbell,lle,4,71,52.724,648,21.733,1,27.320
campbell,spectral,4,80,37.110,819,30.500,1,19.062
campbell,fa,4,12,3.341,11,33.328,1,5.184
campbell,fica,4,39,29.285,352,15.929,2,10.895
campbell,nmf,4,15,54.279,15,29.916,0,54.227
campbell,lda,4,34,24.492,74,8.674,219,14.487
campbell,mctsne,4,28,3.811,156,23.028,2,10.841
campbell,umap,5,102,21.250,97,35.211,0,57.999
campbell,pca,5,10,14.439,9,43.525,0,45.691
campbell,isomap,5,77,41.940,648,53.469,2,18.015
campbell,lle,5,71,16.769,647,21.081,1,14.914
campbell,spectral,5,81,8.423,824,7.512,1,32.204
campbell,fa,5,12,33.351,12,3.229,1,14.850
